canonical_tag,semantic_role,source,note
1girl,SUBJECT_BASIC,CHATGPT_STAGE8A_V2,人物数・主体の基本
1boy,SUBJECT_BASIC,CHATGPT_STAGE8A_V2,人物数・主体の基本
solo,SUBJECT_BASIC,CHATGPT_STAGE8A_V2,単独主体の基本構成
ass,BODY_PART,CHATGPT_STAGE8A_V2,身体部位
anus,BODY_PART,CHATGPT_STAGE8A_V2,身体部位
breasts,BODY_PART,CHATGPT_STAGE8A_V2,身体部位
penis,BODY_PART,CHATGPT_STAGE8A_V2,身体部位
vagina,BODY_PART,CHATGPT_STAGE8A_V2,身体部位
sex_toy,IMPLEMENT,CHATGPT_STAGE8A_V2,器具・物体
butt_plug,IMPLEMENT,CHATGPT_STAGE8A_V2,器具・物体
dildo,IMPLEMENT,CHATGPT_STAGE8A_V2,器具・物体
anal_beads,IMPLEMENT,CHATGPT_STAGE8A_V2,器具・物体
speculum,IMPLEMENT,CHATGPT_STAGE8A_V2,器具・物体
object_insertion,ACTION_SUPPORT,CHATGPT_STAGE8A_V2,行為補強
anal_object_insertion,ACTION_SUPPORT,CHATGPT_STAGE8A_V2,行為補強
penetration,ACTION_SUPPORT,CHATGPT_STAGE8A_V2,行為補強
fingering,ACTION_SUPPORT,CHATGPT_STAGE8A_V2,行為補強
on_back,POSE,CHATGPT_STAGE8A_V2,姿勢・体位
all_fours,POSE,CHATGPT_STAGE8A_V2,姿勢・体位
kneeling,POSE,CHATGPT_STAGE8A_V2,姿勢・体位
spread_legs,POSE,CHATGPT_STAGE8A_V2,姿勢・体位
cross_section,CAMERA_COMPOSITION,CHATGPT_STAGE8A_V2,構図・見せ方
x_ray,CAMERA_COMPOSITION,CHATGPT_STAGE8A_V2,構図・見せ方
from_below,CAMERA_COMPOSITION,CHATGPT_STAGE8A_V2,構図・見せ方
close-up,CAMERA_COMPOSITION,CHATGPT_STAGE8A_V2,構図・見せ方
pov,CAMERA_COMPOSITION,CHATGPT_STAGE8A_V2,構図・見せ方
blush,STATE_REACTION,CHATGPT_STAGE8A_V2,状態・反応
tears,STATE_REACTION,CHATGPT_STAGE8A_V2,状態・反応
sweat,STATE_REACTION,CHATGPT_STAGE8A_V2,状態・反応
gaping,STATE_REACTION,CHATGPT_STAGE8A_V2,状態・反応
open_mouth,STATE_REACTION,CHATGPT_STAGE8A_V2,状態・反応
cum,STATE_REACTION,CHATGPT_STAGE8A_V2,状態・反応
nude,APPEARANCE_CLOTHING,CHATGPT_STAGE8A_V2,外見・衣装
hetero,SITUATION_RELATION,CHATGPT_STAGE8A_V2,状況・関係
