special_id,special_term_snapshot,review_decision,review_reason_ja,evidence_ref,review_batch_id,note
1,anus,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
2,spread anus,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
3,anus peek,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
4,bare anus,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
5,exposed genitals,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
6,genital closeup,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
7,visible genitals,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
8,after footjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
9,after paizuri,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
10,after sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
11,armpit sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
12,buttjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
13,cloth glansjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
14,clothed after sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
15,clothed sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
16,cooperative footjob,SUPPORT_DEFINED,Stage 8B Pilotのenabled profileを現resolverで確認済み。,STAGE8B_PILOT,STAGE8C_PHASE0_SEED,
17,cooperative handjob,SUPPORT_DEFINED,Exit PilotでSpecial固有relationを定義。Family共通化はせず、元Special identityと複合意味を保持する。,STAGE8C_EXIT_PILOT_SPECIAL_17,STAGE8C_EXIT_PILOT_001,relation count is not a success metric; Special identity remains authoritative
18,crotch grab,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
19,cuddling handjob,SUPPORT_DEFINED,Exit PilotでSpecial固有relationを定義。Family共通化はせず、元Special identityと複合意味を保持する。,STAGE8C_EXIT_PILOT_SPECIAL_19,STAGE8C_EXIT_PILOT_001,relation count is not a success metric; Special identity remains authoritative
20,double footjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
21,double handjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
22,ear sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
23,foot worship,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
24,footjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
25,footjob from behind,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
26,footjob under table,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
27,footjob with boots,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
28,footjob with footwear,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
29,footjob with legwear,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
30,footjob with sandals,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
31,footjob with shoes,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
32,frottage,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
33,glansjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
34,grabbing another's ass,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
35,groping,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
36,guided crotch grab,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
37,hairjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
38,handjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
39,happy sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
40,hug and suck,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
41,implied footjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
42,implied sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
43,kneepit sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
44,legjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
45,licking armpit,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
46,licking foot,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
47,nipple tweak,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
48,nursing handjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
49,presenting own body,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
50,reach-around,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
51,reverse footjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
52,reverse nursing handjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
53,rough sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
54,sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
55,simulated footjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
56,tailjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
57,take your pick,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
58,teamwork (sexual),UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
59,teddy bear sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
60,thigh sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
61,torso grab,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
62,two-footed footjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
63,two-handed handjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
64,underwater sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
65,upright 69,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
66,fuck,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
67,fucking,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
68,after buttjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
69,after frottage,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
70,automatic sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
71,backjob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
72,building sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
73,navel sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
74,nosejob,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
75,stealth paizuri,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
76,coitus,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
77,intercourse,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
78,jerk off,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
79,jerking off,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
80,penetrative sex,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
81,sexual activity,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
82,sexual intercourse,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
83,sexual stimulation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
84,after masturbation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
85,crotch rub,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_85,STAGE8C_PHASE1_PILOT001,
86,futanari masturbation,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_86,STAGE8C_PHASE1_PILOT001,
87,implied masturbation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
88,masturbation,SUPPORT_DEFINED,Stage 8B Pilotのenabled profileを現resolverで確認済み。,STAGE8B_PILOT,STAGE8C_PHASE0_SEED,
89,masturbation through clothes,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_89,STAGE8C_PHASE1_PILOT001,
90,masturbation under clothes,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_90,STAGE8C_PHASE1_PILOT001,
91,mutual masturbation,UNREVIEWED,,,STAGE8C_PHASE0_INITIAL,
92,pillow humping,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_92,STAGE8C_PHASE1_PILOT001,
93,stealth masturbation,SUPPORT_DEFINED,Stage8C Phase1 Pilot001の限定scopeでsupport relationを定義済み。,STAGE8C_PILOT001_SPECIAL_93,STAGE8C_PHASE1_PILOT001,
