canonical_tag,post_count,aliases,adult_review_priority,adult_review_hits,coverage_status,human_review_status,notes
soul_gem_(madoka_magica),7349,"soul_gem_(madoka_magika),soul_gem_(madoka_magika)",UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
ship_class_reunion,6016,,HIGH,ass,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
speckled_areolae,1839,,HIGH,areola,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
crossover_pairing,1593,crossover_couple,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
chaotic_scene,892,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
unexpectedly_evil,872,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
kita_high_school_uniform_(subarashiki_hibi),823,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
multiple_cutouts,757,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
himematsu_academy_school_uniform,631,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
dorfic,629,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
grabbing_one_of_another's_twintails,516,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
character_and_character_item,469,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
tachyon's_shady_new_drug_(umamusume),446,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
collapsed_bipod,373,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
gender_transitioning_(ftm),346,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
unexpectedly_good,296,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
gender_transitioning_(mtf),277,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
gun_on_bipod,269,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
long_unitard,265,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
anakt_arts_high_school_uniform,259,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
poke_doll,247,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
double_bowtie,239,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
catcher's_mitt,229,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
holding_hookah,220,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
shunryuu_kokubyou_senki,219,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
anakt_arts_high_school_uniform_(fading_youth),217,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
tenshi_day,207,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
supported_shooting,206,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
playing_other_gachas,200,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
strawberry_print_bra,195,,HIGH,bra,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
mekakushi_dan_(kagerou_project),188,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
offering_collar,176,,HIGH,collar,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
teto_day,176,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
intertwined_fate_(genshin_impact),171,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
unzipping_another's_clothes,169,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
holding_chaos_emerald,163,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
manji,161,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
left-handed_pitcher,158,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
laurel_tattoo,153,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
first_class_mage_uniform,150,,HIGH,ass,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
garden_chair,150,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
catcher_stance,145,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
kokona's_stamp_(blue_archive),144,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
print_dickey,141,,HIGH,dick,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
fansub,140,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
twins_at_the_carousel_(meme),137,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
perversion_of_games,134,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
touhou_22nd_popularity_poll,131,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
ceremonial_sword_(manosaba),128,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
cospussy,123,,HIGH,pussy,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
fairy_(precure),121,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
hebijo_academy_school_uniform_(new_link),121,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
short_unitard,119,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
bamboo_pole,115,,UNFLAGGED_REVIEW_REQUIRED,,PRODUCT_COMPLETE_OMISSION,REVIEW_REQUIRED,
