canonical_tag,post_count,aliases,canonical_adult_domain_count,canonical_adult_domains,canonical_adult_signal_count,canonical_adult_signals,alias_only_adult_domain_count,alias_adult_domains,alias_adult_signals,review_priority,coverage_status,issue94_crosswalk,issue94_final_status,issue94_final_reason
breast_milk_in_container,1219,breast_milk,2,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,3,BREAST_NIPPLE_AREOLA:\bbreast milk\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;FLUID_EXCRETION:\bbreast milk\b,0,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,BREAST_NIPPLE_AREOLA:\bbreast milk\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;FLUID_EXCRETION:\bbreast milk\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
daijoubu?_oppai_momu?_(meme),470,daijoubu?_oppai_momu?,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
iced_latte_with_breast_milk_(meme),421,,2,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,3,BREAST_NIPPLE_AREOLA:\bbreast milk\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;FLUID_EXCRETION:\bbreast milk\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
oppai_mochi,406,,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
saliva_on_breasts,325,,2,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,2,BREAST_NIPPLE_AREOLA:\bbreasts?\b;FLUID_EXCRETION:\bsaliva\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
oppai_challenge,290,,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
cospussy,123,,2,FEMALE_GENITAL;OPAQUE_ADULT_SURFACE,2,FEMALE_GENITAL:\bcospussy\b;OPAQUE:\bcospussy\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
oppai_oppai,86,,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
oppai_hoodie,77,,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
large_breasts,2245881,"big_breasts,/lb,large_boobs,large_breast,large_tits",1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bboobs?\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;BREAST_NIPPLE_AREOLA:\btits?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
medium_breasts,1209874,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
small_breasts,713639,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
yuri,327728,"girl_love,girls_love,girl's_love,shoujo-ai,lesbian",1,OPAQUE_ADULT_SURFACE,1,OPAQUE:\byuri\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
huge_breasts,325713,"huge_breast,/hb,huge_boobs,huge_tits",1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bboobs?\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;BREAST_NIPPLE_AREOLA:\btits?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
yaoi,115442,"gay,shounen-ai,boy_love,boys_love,boy's_love,shonen-ai",1,OPAQUE_ADULT_SURFACE,1,OPAQUE:\byaoi\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
alternate_breast_size_(larger),93118,larger_breasts_than_canon,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bbreasts?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
between_breasts,64738,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,ISSUE94_REVIEWED_EXCLUDED,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant
breast_pocket,32202,"chest_pocket,shirt_pocket",1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
saliva_trail,28099,"spit_trail,saliva_string",1,FLUID_EXCRETION,1,FLUID_EXCRETION:\bsaliva\b,0,FLUID_EXCRETION,FLUID_EXCRETION:\bsaliva\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
necktie_between_breasts,15420,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,ISSUE94_REVIEWED_EXCLUDED,GENERAL_ONLY,specific object/body spatial relation; a concrete reusable composition concept
mouth_drool,14647,,1,FLUID_EXCRETION,1,FLUID_EXCRETION:\bdrool\w*\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
same-sex_bathing,14489,"shared_bathing,shared_bathing",1,SEX_ACT_RELATION,1,SEX_ACT_RELATION:\bsex\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,ISSUE94_REVIEWED_EXCLUDED,GENERAL_ONLY,specific relationship/scene identity but ordinary bathing may belong in General rather than deep Special
hair_over_breasts,11472,hair_on_breasts,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bbreasts?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,ISSUE94_REVIEWED_EXCLUDED,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant
holding_leash,9505,,1,BDSM_RESTRAINT,1,BDSM_RESTRAINT:\bleash\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome
mixed-sex_bathing,9158,"mixed_bathing,coed_bathing",1,SEX_ACT_RELATION,1,SEX_ACT_RELATION:\bsex\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,ISSUE94_REVIEWED_EXCLUDED,GENERAL_ONLY,specific relationship/scene identity but ordinary bathing may belong in General rather than deep Special
