canonical_tag,post_count,aliases,canonical_adult_domain_count,canonical_adult_domains,canonical_adult_signal_count,canonical_adult_signals,alias_only_adult_domain_count,alias_adult_domains,alias_adult_signals,review_priority,coverage_status,issue94_crosswalk,issue94_final_status,issue94_final_reason,review_source,product_fit_decision,product_fit_reason
large_breasts,2245881,"big_breasts,/lb,large_boobs,large_breast,large_tits",1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bboobs?\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;BREAST_NIPPLE_AREOLA:\btits?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
medium_breasts,1209874,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
small_breasts,713639,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
yuri,327728,"girl_love,girls_love,girl's_love,shoujo-ai,lesbian",1,OPAQUE_ADULT_SURFACE,1,OPAQUE:\byuri\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
huge_breasts,325713,"huge_breast,/hb,huge_boobs,huge_tits",1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bboobs?\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;BREAST_NIPPLE_AREOLA:\btits?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
yaoi,115442,"gay,shounen-ai,boy_love,boys_love,boy's_love,shonen-ai",1,OPAQUE_ADULT_SURFACE,1,OPAQUE:\byaoi\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
alternate_breast_size_(larger),93118,larger_breasts_than_canon,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bbreasts?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
breast_pocket,32202,"chest_pocket,shirt_pocket",1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
saliva_trail,28099,"spit_trail,saliva_string",1,FLUID_EXCRETION,1,FLUID_EXCRETION:\bsaliva\b,0,FLUID_EXCRETION,FLUID_EXCRETION:\bsaliva\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
presenting_own_armpit,16082,presenting_armpit,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL,NOT_IN_ISSUE94_FINAL_REVIEW,,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,opaque rescue: concrete fetish/sexual/body-site/restraint relation missed by strict adult-name heuristic
mouth_drool,14647,,1,FLUID_EXCRETION,1,FLUID_EXCRETION:\bdrool\w*\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
holding_leash,9505,,1,BDSM_RESTRAINT,1,BDSM_RESTRAINT:\bleash\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,"broad/basic descriptor, ordinary object/state, arbitrary Cartesian placement, color variant, or low-value scene label is better served by General"
breast_curtains,9137,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,specific adult/fetish/body-site/action/topology identity adds deep-discovery value beyond broad General browsing
