proposed_special_id,canonical_tag,canonical_aliases,frozen_post_count_2026_09_02,proposed_layer,adult_domains,review_source,source_issue104_merge,metadata_status,display_ja,search_ja,kind_id,body_site_ids,theme_ids,generation_family,generation_role,prompt_use_mode,family_rule_id
2984,presenting_own_armpit,presenting_armpit,16082,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,自分の腋を見せる,自分の腋を見せる|腋見せ|脇見せ|自分の脇を見せる,POSE_SCENE,,,POSE_COMPOSITION,pose_camera,STRUCTURED,GFR_POSE_COMPOSITION
2985,breast_curtains,,9137,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,胸カーテン,胸カーテン|乳房カーテン,CLOTHING_EXPOSURE,BREAST_NIPPLE,,CLOTHING_EXPOSURE,visual_state,DIRECT,GFR_CLOTHING_EXPOSURE
2986,condom_in_mouth,,7211,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,口にコンドーム,口にコンドーム|口内コンドーム,TOOL_OBJECT,MOUTH_ORAL,,DIRECT_COMPOSITE,spatial_relation,STRUCTURED,GFR_DIRECT_COMPOSITE
2987,perky_breasts,,5418,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,張りのある胸,張りのある胸|上向きの胸|張った胸,BODY_STATE,BREAST_NIPPLE,,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,GFR_BODY_ATTRIBUTE
2988,sweaty_armpits,,4884,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,汗ばんだ腋,汗ばんだ腋|汗ばんだ脇|脇汗,BODY_STATE,,,BODY_STATE,body_state,DIRECT,GFR_BODY_STATE
2989,veiny_breasts,,4797,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,血管の浮いた胸,血管の浮いた胸|胸の血管,BODY_STATE,BREAST_NIPPLE,,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,GFR_BODY_ATTRIBUTE
2990,breasts_on_glass,breasts_against_glass,4505,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,ガラスに押し付けた胸,ガラスに押し付けた胸,ACTION_CONTACT,BREAST_NIPPLE,,DIRECT_COMPOSITE,spatial_relation,STRUCTURED,GFR_DIRECT_COMPOSITE
2991,armpit_focus,,4263,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,腋フォーカス,腋フォーカス|脇フォーカス|腋アップ,POSE_SCENE,,,POSE_COMPOSITION,pose_camera,STRUCTURED,GFR_POSE_COMPOSITION
2992,face_to_breasts,,3675,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,顔を胸に当てる,顔を胸に当てる,ACTION_CONTACT,BREAST_NIPPLE,,DIRECT_COMPOSITE,spatial_relation,STRUCTURED,GFR_DIRECT_COMPOSITE
2993,sweaty_breasts,,3394,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,HUMAN_BOUNDED_RESOLVED,汗ばんだ胸,汗ばんだ胸,BODY_STATE,BREAST_NIPPLE,,BODY_STATE,body_state,DIRECT,GFR_BODY_STATE
