proposed_special_id,canonical_tag,canonical_aliases,frozen_post_count_2026_09_02,proposed_layer,adult_domains,review_source,source_issue104_merge,metadata_status
2984,presenting_own_armpit,presenting_armpit,16082,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2985,breast_curtains,,9137,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2986,condom_in_mouth,,7211,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2987,perky_breasts,,5418,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2988,sweaty_armpits,,4884,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2989,veiny_breasts,,4797,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2990,breasts_on_glass,breasts_against_glass,4505,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2991,armpit_focus,,4263,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2992,face_to_breasts,,3675,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2993,sweaty_breasts,,3394,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2994,pointless_condom,,3231,Core,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2995,single_breast_curtain,"breast_curtain,breast_veil",3129,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2996,viewer_holding_leash,pov_leash,3055,Core,BDSM_RESTRAINT,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
2997,breasts_on_head,headboob,3000,Core,BREAST_NIPPLE_AREOLA,STRICT_CANONICAL_ADULT_PRIORITY,0e165d02c4715fedbd28b49525276294d0cd8ee3,PENDING_PRODUCT_METADATA
