special_id,tag,mechanical_triage,triage_reason,exact_general_overlap,product_fit_verdict,promotion_status,meaning_status,generation_family,generation_role,prompt_use_mode,special_flags,general_canonical,general_display_ja,general_search_ja,general_post_count,general_status,general_confidence,general_primary_path,general_secondary_paths,human_final,human_reason
1,anus,GENERAL_SUFFICIENT_CANDIDATE,B1_HUMAN_SEED; plain anatomy/body-site concept; verify General Japanese discovery,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,,anus,,,,PROPOSED,HIGH,BODY_PART,[],,
2,spread anus,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:BODY_ATTRIBUTE,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,,spread_anus,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
3,anus peek,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:BODY_ATTRIBUTE,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,,anus_peek,,,,PROPOSED,HIGH,CLOTHING_STATE_EXPOSURE,"[""BODY_PART""]",,
4,bare anus,KEEP_SPECIAL,NO_STRONG_GENERAL_SUFFICIENCY_SIGNAL,NO,KEEP_REFERENCE_ONLY,APPROVED_SEMANTIC_ROLE,SEMANTIC_SUPPORT,,semantic_support,SUPPORT,SEMANTIC_NOT_DIRECT_CANONICAL,,,,,,,,,,
5,exposed genitals,KEEP_SPECIAL,NO_STRONG_GENERAL_SUFFICIENCY_SIGNAL,NO,KEEP_REFERENCE_ONLY,APPROVED_SEMANTIC_ROLE,SEMANTIC_SUPPORT,,semantic_support,SUPPORT,SEMANTIC_NOT_DIRECT_CANONICAL,,,,,,,,,,
6,genital closeup,KEEP_SPECIAL,NO_STRONG_GENERAL_SUFFICIENCY_SIGNAL,NO,KEEP,APPROVED_SEMANTIC_ROLE,SEMANTIC_SUPPORT,,semantic_support,SUPPORT,SEMANTIC_NOT_DIRECT_CANONICAL,,,,,,,,,,
7,visible genitals,KEEP_SPECIAL,NO_STRONG_GENERAL_SUFFICIENCY_SIGNAL,NO,KEEP_REFERENCE_ONLY,APPROVED_SEMANTIC_ROLE,SEMANTIC_SUPPORT,,semantic_support,SUPPORT,SEMANTIC_NOT_DIRECT_CANONICAL,,,,,,,,,,
8,after footjob,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_footjob,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
9,after paizuri,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_paizuri,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
10,after sex,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_sex,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
