special_id,tag,mechanical_triage,triage_reason,exact_general_overlap,product_fit_verdict,promotion_status,meaning_status,generation_family,generation_role,prompt_use_mode,special_flags,general_canonical,general_display_ja,general_search_ja,general_post_count,general_status,general_confidence,general_primary_path,general_secondary_paths,human_final,human_reason
1,anus,GENERAL_SUFFICIENT_CANDIDATE,B1_HUMAN_SEED; plain anatomy/body-site concept; verify General Japanese discovery,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,,anus,,,,PROPOSED,HIGH,BODY_PART,[],,
2,spread anus,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:BODY_ATTRIBUTE,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,,spread_anus,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
3,anus peek,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:BODY_ATTRIBUTE,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,BODY_ATTRIBUTE,body_target_or_attribute,DIRECT,,anus_peek,,,,PROPOSED,HIGH,CLOTHING_STATE_EXPOSURE,"[""BODY_PART""]",,
8,after footjob,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_footjob,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
9,after paizuri,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_paizuri,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
10,after sex,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,after_sex,,,,PROPOSED,HIGH,ACTION_CONTACT/INTIMATE,[],,
14,clothed after sex,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,clothed_after_sex,,,,PROPOSED,HIGH,CLOTHING_STATE_EXPOSURE,[],,
41,implied footjob,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,implied_footjob,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTIMATE,[],,
42,implied sex,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:CONTEXT_MODIFIER,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,CONTEXT_MODIFIER,temporal_or_implied_context,SUPPORT,,implied_sex,,,,PROPOSED,MEDIUM,ACTION_CONTACT/INTIMATE,[],,
49,presenting own body,NEEDS_REVIEW,EXACT_GENERAL_OVERLAP+GENERALISH_FAMILY:POSE_COMPOSITION,YES,KEEP,APPROVED_STATIC,SOURCE_CLEAR,POSE_COMPOSITION,pose,STRUCTURED,COMPOSITION_OWNER_CANDIDATE,presenting_own_body,,,,PROPOSED,HIGH,POSE_MOVEMENT,[],,
