identity_key,candidate_state,reason
\m/,ORDINARY_CLEAN,no_body_contact_risk
\n/,ORDINARY_CLEAN,no_body_contact_risk
abhaya_mudra,ORDINARY_CLEAN,no_body_contact_risk
absorbing,ORDINARY_CLEAN,no_body_contact_risk
accident,ORDINARY_CLEAN,no_body_contact_risk
accidental_touch,ORDINARY_CLEAN,no_body_contact_risk
adjusting_another's_clothes,ORDINARY_CLEAN,no_body_contact_risk
adjusting_another's_eyewear,ORDINARY_CLEAN,no_body_contact_risk
adjusting_another's_hair,ORDINARY_CLEAN,no_body_contact_risk
adjusting_apron,ORDINARY_CLEAN,no_body_contact_risk
adjusting_belt,ORDINARY_CLEAN,no_body_contact_risk
adjusting_bow,ORDINARY_CLEAN,no_body_contact_risk
adjusting_bowtie,ORDINARY_CLEAN,no_body_contact_risk
adjusting_buruma,ORDINARY_CLEAN,no_body_contact_risk
adjusting_dress,ORDINARY_CLEAN,no_body_contact_risk
adjusting_earrings,ORDINARY_CLEAN,no_body_contact_risk
adjusting_eyewear,ORDINARY_CLEAN,no_body_contact_risk
adjusting_footwear,ORDINARY_CLEAN,no_body_contact_risk
adjusting_gloves,ORDINARY_CLEAN,no_body_contact_risk
adjusting_goggles,ORDINARY_CLEAN,no_body_contact_risk
adjusting_hair,ORDINARY_CLEAN,no_body_contact_risk
adjusting_hair_ornament,ORDINARY_CLEAN,no_body_contact_risk
adjusting_headphones,ORDINARY_CLEAN,no_body_contact_risk
adjusting_headset,ORDINARY_CLEAN,no_body_contact_risk
adjusting_headwear,ORDINARY_CLEAN,no_body_contact_risk
adjusting_hood,ORDINARY_CLEAN,no_body_contact_risk
adjusting_legwear,ORDINARY_CLEAN,no_body_contact_risk
adjusting_mask,ORDINARY_CLEAN,no_body_contact_risk
adjusting_neck_ribbon,ORDINARY_CLEAN,no_body_contact_risk
adjusting_necktie,ORDINARY_CLEAN,no_body_contact_risk
adjusting_scarf,ORDINARY_CLEAN,no_body_contact_risk
adjusting_shirt,ORDINARY_CLEAN,no_body_contact_risk
adjusting_shoe,ORDINARY_CLEAN,no_body_contact_risk
adjusting_shorts,ORDINARY_CLEAN,no_body_contact_risk
adjusting_skirt,ORDINARY_CLEAN,no_body_contact_risk
adjusting_sleeves,ORDINARY_CLEAN,no_body_contact_risk
adjusting_sock,ORDINARY_CLEAN,no_body_contact_risk
adjusting_strap,ORDINARY_CLEAN,no_body_contact_risk
aerial_battle,ORDINARY_CLEAN,no_body_contact_risk
aerokinesis,ORDINARY_CLEAN,no_body_contact_risk
affirmation,ORDINARY_CLEAN,no_body_contact_risk
after_bathing,ORDINARY_CLEAN,no_body_contact_risk
after_battle,ORDINARY_CLEAN,no_body_contact_risk
after_exercise,ORDINARY_CLEAN,no_body_contact_risk
after_meal,ORDINARY_CLEAN,no_body_contact_risk
ahoge_grab,ORDINARY_CLEAN,no_body_contact_risk
ai_ai_gasa,ORDINARY_CLEAN,no_body_contact_risk
air_guitar,ORDINARY_CLEAN,no_body_contact_risk
air_hockey,ORDINARY_CLEAN,no_body_contact_risk
airsoft,ORDINARY_CLEAN,no_body_contact_risk
akira_slide,ORDINARY_CLEAN,no_body_contact_risk
alchemy,ORDINARY_CLEAN,no_body_contact_risk
ambush,ORDINARY_CLEAN,no_body_contact_risk
american_football_(sport),ORDINARY_CLEAN,no_body_contact_risk
animal_around_neck,ORDINARY_CLEAN,no_body_contact_risk
animal_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
animal_on_arm,ORDINARY_CLEAN,no_body_contact_risk
animal_on_ass,ORDINARY_CLEAN,no_body_contact_risk
animal_on_back,ORDINARY_CLEAN,no_body_contact_risk
animal_on_chest,ORDINARY_CLEAN,no_body_contact_risk
animal_on_face,ORDINARY_CLEAN,no_body_contact_risk
animal_on_finger,ORDINARY_CLEAN,no_body_contact_risk
animal_on_hand,ORDINARY_CLEAN,no_body_contact_risk
animal_on_head,ORDINARY_CLEAN,no_body_contact_risk
animal_on_lap,ORDINARY_CLEAN,no_body_contact_risk
animal_on_leg,ORDINARY_CLEAN,no_body_contact_risk
animal_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
animal_on_stomach,ORDINARY_CLEAN,no_body_contact_risk
animal_on_weapon,ORDINARY_CLEAN,no_body_contact_risk
apologizing,ORDINARY_CLEAN,no_body_contact_risk
apple_on_head,ORDINARY_CLEAN,no_body_contact_risk
arguing,ORDINARY_CLEAN,no_body_contact_risk
arima_kinen,ORDINARY_CLEAN,no_body_contact_risk
arm_around_another's_back,ORDINARY_CLEAN,no_body_contact_risk
arm_around_neck,ORDINARY_CLEAN,no_body_contact_risk
arm_around_shoulder,ORDINARY_CLEAN,no_body_contact_risk
arm_between_another's_legs,ORDINARY_CLEAN,no_body_contact_risk
arm_on_another's_head,ORDINARY_CLEAN,no_body_contact_risk
arm_on_another's_shoulder,ORDINARY_CLEAN,no_body_contact_risk
arm_pillow,ORDINARY_CLEAN,no_body_contact_risk
arm_wrestling,ORDINARY_CLEAN,no_body_contact_risk
armband_grab,ORDINARY_CLEAN,no_body_contact_risk
armbar,ORDINARY_CLEAN,no_body_contact_risk
armlock,ORDINARY_CLEAN,no_body_contact_risk
armpit_carry,ORDINARY_CLEAN,no_body_contact_risk
arms_around_another's_back,ORDINARY_CLEAN,no_body_contact_risk
arms_around_neck,ORDINARY_CLEAN,no_body_contact_risk
arms_on_another's_shoulder,ORDINARY_CLEAN,no_body_contact_risk
arrest,ORDINARY_CLEAN,no_body_contact_risk
arrow_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
arrow_through_apple,ORDINARY_CLEAN,no_body_contact_risk
arson,ORDINARY_CLEAN,no_body_contact_risk
ass-to-ass,ORDINARY_CLEAN,no_body_contact_risk
ass_clap,ORDINARY_CLEAN,no_body_contact_risk
ass_on_glass,ORDINARY_CLEAN,no_body_contact_risk
ass_shake,ORDINARY_CLEAN,no_body_contact_risk
ass_smack,ORDINARY_CLEAN,no_body_contact_risk
assassination,ORDINARY_CLEAN,no_body_contact_risk
assembling,ORDINARY_CLEAN,no_body_contact_risk
