identity_key,candidate_state,reason
arm_between_another's_legs,BOUNDARY_REVIEW,between_legs_contact
ass_on_glass,BOUNDARY_REVIEW,sexualized_body_display
bed_invitation,BOUNDARY_REVIEW,bed_or_strip_context
bust_measuring,BOUNDARY_REVIEW,sexualized_body_display
chained_legs,BOUNDARY_REVIEW,restraint_chain
chained_wrists,BOUNDARY_REVIEW,restraint_chain
finger_to_tongue,BOUNDARY_REVIEW,finger_to_tongue
foot_on_another's_thigh,BOUNDARY_REVIEW,foot_on_thigh
licking_shoulder,BOUNDARY_REVIEW,intimate_licking
strip_poker,BOUNDARY_REVIEW,bed_or_strip_context
