identity_key,candidate_state,risk_flags
\m/,LOW_RISK_CANDIDATE,
\n/,LOW_RISK_CANDIDATE,
abhaya_mudra,LOW_RISK_CANDIDATE,
absorbing,LOW_RISK_CANDIDATE,
accident,LOW_RISK_CANDIDATE,
adjusting_apron,LOW_RISK_CANDIDATE,
adjusting_belt,LOW_RISK_CANDIDATE,
adjusting_bow,LOW_RISK_CANDIDATE,
adjusting_bowtie,LOW_RISK_CANDIDATE,
adjusting_dress,LOW_RISK_CANDIDATE,
adjusting_earrings,LOW_RISK_CANDIDATE,
adjusting_eyewear,LOW_RISK_CANDIDATE,
adjusting_footwear,LOW_RISK_CANDIDATE,
adjusting_gloves,LOW_RISK_CANDIDATE,
adjusting_goggles,LOW_RISK_CANDIDATE,
adjusting_headphones,LOW_RISK_CANDIDATE,
adjusting_headset,LOW_RISK_CANDIDATE,
adjusting_headwear,LOW_RISK_CANDIDATE,
adjusting_hood,LOW_RISK_CANDIDATE,
adjusting_legwear,LOW_RISK_CANDIDATE,
adjusting_mask,LOW_RISK_CANDIDATE,
adjusting_necktie,LOW_RISK_CANDIDATE,
adjusting_scarf,LOW_RISK_CANDIDATE,
adjusting_shirt,LOW_RISK_CANDIDATE,
adjusting_shoe,LOW_RISK_CANDIDATE,
adjusting_sleeves,LOW_RISK_CANDIDATE,
adjusting_sock,LOW_RISK_CANDIDATE,
adjusting_strap,LOW_RISK_CANDIDATE,
aerial_battle,LOW_RISK_CANDIDATE,
aerokinesis,LOW_RISK_CANDIDATE,
affirmation,LOW_RISK_CANDIDATE,
after_bathing,LOW_RISK_CANDIDATE,
after_battle,LOW_RISK_CANDIDATE,
after_exercise,LOW_RISK_CANDIDATE,
after_meal,LOW_RISK_CANDIDATE,
ahoge_grab,LOW_RISK_CANDIDATE,
ai_ai_gasa,LOW_RISK_CANDIDATE,
air_guitar,LOW_RISK_CANDIDATE,
air_hockey,LOW_RISK_CANDIDATE,
airsoft,LOW_RISK_CANDIDATE,
akira_slide,LOW_RISK_CANDIDATE,
alchemy,LOW_RISK_CANDIDATE,
ambush,LOW_RISK_CANDIDATE,
american_football_(sport),LOW_RISK_CANDIDATE,
animal_on_lap,LOW_RISK_CANDIDATE,
animal_on_weapon,LOW_RISK_CANDIDATE,
apologizing,LOW_RISK_CANDIDATE,
arguing,LOW_RISK_CANDIDATE,
arima_kinen,LOW_RISK_CANDIDATE,
armband_grab,LOW_RISK_CANDIDATE,
armbar,LOW_RISK_CANDIDATE,
armlock,LOW_RISK_CANDIDATE,
arrest,LOW_RISK_CANDIDATE,
arrow_through_apple,LOW_RISK_CANDIDATE,
arson,LOW_RISK_CANDIDATE,
assassination,LOW_RISK_CANDIDATE,
assembling,LOW_RISK_CANDIDATE,
assisted_carrying,LOW_RISK_CANDIDATE,
assisted_stretching,LOW_RISK_CANDIDATE,
at_gunpoint,LOW_RISK_CANDIDATE,
at_knifepoint,LOW_RISK_CANDIDATE,
atmospheric_reentry,LOW_RISK_CANDIDATE,
attempted_suicide,LOW_RISK_CANDIDATE,
auction,LOW_RISK_CANDIDATE,
aura_sphere_(pokemon),LOW_RISK_CANDIDATE,
autodefenestration,LOW_RISK_CANDIDATE,
awooo,LOW_RISK_CANDIDATE,
babydoll_hold,LOW_RISK_CANDIDATE,
babydoll_pull,LOW_RISK_CANDIDATE,
babydoll_tug,LOW_RISK_CANDIDATE,
babywearing,LOW_RISK_CANDIDATE,
backbreaker,LOW_RISK_CANDIDATE,
backstab,LOW_RISK_CANDIDATE,
bad_singing,LOW_RISK_CANDIDATE,
badminton,LOW_RISK_CANDIDATE,
baking,LOW_RISK_CANDIDATE,
ballet,LOW_RISK_CANDIDATE,
ballroom_dancing,LOW_RISK_CANDIDATE,
bang_(gesture),LOW_RISK_CANDIDATE,
banging,LOW_RISK_CANDIDATE,
banquet,LOW_RISK_CANDIDATE,
barking,LOW_RISK_CANDIDATE,
baseball_(sport),LOW_RISK_CANDIDATE,
basketball_(sport),LOW_RISK_CANDIDATE,
bathing,LOW_RISK_CANDIDATE,
battle,LOW_RISK_CANDIDATE,
beach_volleyball,LOW_RISK_CANDIDATE,
beak_hold,LOW_RISK_CANDIDATE,
bearhug,LOW_RISK_CANDIDATE,
beckoning,LOW_RISK_CANDIDATE,
bedtime_story,LOW_RISK_CANDIDATE,
begging,LOW_RISK_CANDIDATE,
being_late,LOW_RISK_CANDIDATE,
bell_ringing,LOW_RISK_CANDIDATE,
betrayal,LOW_RISK_CANDIDATE,
billiards,LOW_RISK_CANDIDATE,
bird_on_lap,LOW_RISK_CANDIDATE,
birthday_party,LOW_RISK_CANDIDATE,
bitten,LOW_RISK_CANDIDATE,
blackmail,LOW_RISK_CANDIDATE,
blade_catching,LOW_RISK_CANDIDATE,
blade_to_throat,LOW_RISK_CANDIDATE,
blocking,LOW_RISK_CANDIDATE,
blowing,LOW_RISK_CANDIDATE,
blowing_bubble_gum,LOW_RISK_CANDIDATE,
blowing_bubbles,LOW_RISK_CANDIDATE,
blowing_candle,LOW_RISK_CANDIDATE,
blowing_nose,LOW_RISK_CANDIDATE,
blowing_on_food,LOW_RISK_CANDIDATE,
blowing_whistle,LOW_RISK_CANDIDATE,
blown_away,LOW_RISK_CANDIDATE,
boiling,LOW_RISK_CANDIDATE,
bonk,LOW_RISK_CANDIDATE,
book_on_lap,LOW_RISK_CANDIDATE,
borrowing_race,LOW_RISK_CANDIDATE,
boston_crab,LOW_RISK_CANDIDATE,
bouquet_toss,LOW_RISK_CANDIDATE,
boy_and_girl_sandwich,LOW_RISK_CANDIDATE,
boy_sandwich,LOW_RISK_CANDIDATE,
brain_injection,LOW_RISK_CANDIDATE,
bras_d'honneur,LOW_RISK_CANDIDATE,
bread_eating_race,LOW_RISK_CANDIDATE,
breaking,LOW_RISK_CANDIDATE,
breaking_through_wall,LOW_RISK_CANDIDATE,
breaking_through_window,LOW_RISK_CANDIDATE,
breath_weapon,LOW_RISK_CANDIDATE,
breathing_fire,LOW_RISK_CANDIDATE,
breathing_ice,LOW_RISK_CANDIDATE,
bribery,LOW_RISK_CANDIDATE,
broken_hypnosis,LOW_RISK_CANDIDATE,
broom_guitar,LOW_RISK_CANDIDATE,
brushing,LOW_RISK_CANDIDATE,
brushing_tail,LOW_RISK_CANDIDATE,
brushing_teeth,LOW_RISK_CANDIDATE,
bubble_tea_challenge,LOW_RISK_CANDIDATE,
bucket_spill,LOW_RISK_CANDIDATE,
bug_hunting,LOW_RISK_CANDIDATE,
building_sand_sculpture,LOW_RISK_CANDIDATE,
building_snowman,LOW_RISK_CANDIDATE,
bumping,LOW_RISK_CANDIDATE,
bunny_ears_prank,LOW_RISK_CANDIDATE,
buried,LOW_RISK_CANDIDATE,
buried_in_sculpted_sand,LOW_RISK_CANDIDATE,
burning_at_the_stake,LOW_RISK_CANDIDATE,
