identity_key,candidate_state,risk_flags
accidental_touch,RESIDUAL_UNCLASSIFIED,intimate_or_boundary_token
adjusting_another's_clothes,RESIDUAL_UNCLASSIFIED,relation_or_body_token
adjusting_another's_eyewear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
adjusting_another's_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
adjusting_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
adjusting_hair_ornament,RESIDUAL_UNCLASSIFIED,relation_or_body_token
adjusting_neck_ribbon,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_around_neck,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_ass,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_back,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_chest,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_finger,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_leg,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
animal_on_stomach,RESIDUAL_UNCLASSIFIED,relation_or_body_token
apple_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arm_around_another's_back,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arm_around_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arm_on_another's_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arm_on_another's_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arm_pillow,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arm_wrestling,RESIDUAL_UNCLASSIFIED,relation_or_body_token
armpit_carry,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arms_around_another's_back,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arms_on_another's_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
arrow_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
ass-to-ass,RESIDUAL_UNCLASSIFIED,relation_or_body_token
