identity_key,state
abdomen_tail,LOW_RISK_BODY_CANDIDATE_V19_1
abs,LOW_RISK_BODY_CANDIDATE_V19_1
absurdly_long_tail,LOW_RISK_BODY_CANDIDATE_V19_1
abyssal_ship_transformation,LOW_RISK_BODY_CANDIDATE_V19_1
accessory_tan,LOW_RISK_BODY_CANDIDATE_V19_1
achilles_tendon,LOW_RISK_BODY_CANDIDATE_V19_1
adam's_apple,LOW_RISK_BODY_CANDIDATE_V19_1
age_comparison,LOW_RISK_BODY_CANDIDATE_V19_1
age_progression,LOW_RISK_BODY_CANDIDATE_V19_1
age_regression,LOW_RISK_BODY_CANDIDATE_V19_1
age_switch,LOW_RISK_BODY_CANDIDATE_V19_1
aged_down,LOW_RISK_BODY_CANDIDATE_V19_1
aged_up,LOW_RISK_BODY_CANDIDATE_V19_1
albino,LOW_RISK_BODY_CANDIDATE_V19_1
allergy,LOW_RISK_BODY_CANDIDATE_V19_1
alpaca_ears,LOW_RISK_BODY_CANDIDATE_V19_1
alpaca_tail,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_animal_ears,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_body_fluid,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_body_hair,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_ears,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_horns,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_piercings,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_size,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_skin_color,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_tail,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_tail_color,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_wing_color,LOW_RISK_BODY_CANDIDATE_V19_1
alternate_wings,LOW_RISK_BODY_CANDIDATE_V19_1
ambiguous_red_liquid,LOW_RISK_BODY_CANDIDATE_V19_1
american_flag_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
amnesia,LOW_RISK_BODY_CANDIDATE_V19_1
anatomy,LOW_RISK_BODY_CANDIDATE_V19_1
anchor_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
angel_wings,LOW_RISK_BODY_CANDIDATE_V19_1
animal_ear_fluff,LOW_RISK_BODY_CANDIDATE_V19_1
animal_ears,LOW_RISK_BODY_CANDIDATE_V19_1
animal_hands,LOW_RISK_BODY_CANDIDATE_V19_1
animal_head,LOW_RISK_BODY_CANDIDATE_V19_1
animal_legs,LOW_RISK_BODY_CANDIDATE_V19_1
animal_nose,LOW_RISK_BODY_CANDIDATE_V19_1
animal_skeleton,LOW_RISK_BODY_CANDIDATE_V19_1
animal_skull,LOW_RISK_BODY_CANDIDATE_V19_1
animal_with_hair,LOW_RISK_BODY_CANDIDATE_V19_1
ankh_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
ankle,LOW_RISK_BODY_CANDIDATE_V19_1
ankle_fins,LOW_RISK_BODY_CANDIDATE_V19_1
ankle_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
ankle_wings,LOW_RISK_BODY_CANDIDATE_V19_1
anteater_ears,LOW_RISK_BODY_CANDIDATE_V19_1
anteater_tail,LOW_RISK_BODY_CANDIDATE_V19_1
antelope_ears,LOW_RISK_BODY_CANDIDATE_V19_1
antelope_horns,LOW_RISK_BODY_CANDIDATE_V19_1
antennae,LOW_RISK_BODY_CANDIDATE_V19_1
anti-eyebrow_piercing,LOW_RISK_BODY_CANDIDATE_V19_1
antlers,LOW_RISK_BODY_CANDIDATE_V19_1
aqua_feathers,LOW_RISK_BODY_CANDIDATE_V19_1
aqua_fur,LOW_RISK_BODY_CANDIDATE_V19_1
aqua_horns,LOW_RISK_BODY_CANDIDATE_V19_1
aqua_nails,LOW_RISK_BODY_CANDIDATE_V19_1
aqua_scales,LOW_RISK_BODY_CANDIDATE_V19_1
aqua_skin,LOW_RISK_BODY_CANDIDATE_V19_1
aqua_tail,LOW_RISK_BODY_CANDIDATE_V19_1
aqua_wings,LOW_RISK_BODY_CANDIDATE_V19_1
