token,risk_count,nonsexual_count,risk_prevalence,nonsexual_prevalence,lift
cum,132,0,0.17076326,0.0,170764.26
dildo,38,0,0.04915912,0.0,49160.1203
threesome,37,0,0.04786546,0.0,47866.4592
penetration,35,0,0.04527814,0.0,45279.1371
vibrator,30,0,0.03880983,0.0,38810.8318
handjob,29,0,0.03751617,0.0,37517.1708
masturbation,29,0,0.03751617,0.0,37517.1708
fellatio,27,0,0.03492885,0.0,34929.8486
paizuri,26,0,0.03363519,0.0,33636.1876
implied,17,0,0.02199224,0.0,21993.238
condom,16,0,0.02069858,0.0,20699.577
ejaculation,15,0,0.01940492,0.0,19405.9159
orgasm,11,0,0.01423027,0.0,14231.2717
anal,7,0,0.00905563,0.0,9056.6274
tentacle,7,0,0.00905563,0.0,9056.6274
cumshot,6,0,0.00776197,0.0,7762.9664
reverse,6,0,0.00776197,0.0,7762.9664
blowjob,5,0,0.00646831,0.0,6469.3053
buttjob,5,0,0.00646831,0.0,6469.3053
covered,5,0,0.00646831,0.0,6469.3053
internal,5,0,0.00646831,0.0,6469.3053
naked,5,0,0.00646831,0.0,6469.3053
pull,5,0,0.00646831,0.0,6469.3053
assisted,4,0,0.00517464,0.0,5175.6442
cooperative,4,0,0.00517464,0.0,5175.6442
mutual,4,0,0.00517464,0.0,5175.6442
pantyhose,4,0,0.00517464,0.0,5175.6442
penetrated,4,0,0.00517464,0.0,5175.6442
standing,4,0,0.00517464,0.0,5175.6442
anus,3,0,0.00388098,0.0,3881.9832
armpits,3,0,0.00388098,0.0,3881.9832
bikini,3,0,0.00388098,0.0,3881.9832
clitoris,3,0,0.00388098,0.0,3881.9832
covering,3,0,0.00388098,0.0,3881.9832
gloves,3,0,0.00388098,0.0,3881.9832
handed,3,0,0.00388098,0.0,3881.9832
handsfree,3,0,0.00388098,0.0,3881.9832
insertion,3,0,0.00388098,0.0,3881.9832
nursing,3,0,0.00388098,0.0,3881.9832
oppai,3,0,0.00388098,0.0,3881.9832
oral,3,0,0.00388098,0.0,3881.9832
peeing,3,0,0.00388098,0.0,3881.9832
restraints,3,0,0.00388098,0.0,3881.9832
simulated,3,0,0.00388098,0.0,3881.9832
sweaty,3,0,0.00388098,0.0,3881.9832
testicles,3,0,0.00388098,0.0,3881.9832
vaginal,3,0,0.00388098,0.0,3881.9832
while,3,0,0.00388098,0.0,3881.9832
afterwards,2,0,0.00258732,0.0,2588.3221
auto,2,0,0.00258732,0.0,2588.3221
cowgirl,2,0,0.00258732,0.0,2588.3221
extended,2,0,0.00258732,0.0,2588.3221
futa,2,0,0.00258732,0.0,2588.3221
get,2,0,0.00258732,0.0,2588.3221
groping,2,0,0.00258732,0.0,2588.3221
guided,2,0,0.00258732,0.0,2588.3221
had,2,0,0.00258732,0.0,2588.3221
invitation,2,0,0.00258732,0.0,2588.3221
irrumatio,2,0,0.00258732,0.0,2588.3221
latex,2,0,0.00258732,0.0,2588.3221
lick,2,0,0.00258732,0.0,2588.3221
lots,2,0,0.00258732,0.0,2588.3221
milk,2,0,0.00258732,0.0,2588.3221
milking,2,0,0.00258732,0.0,2588.3221
pasties,2,0,0.00258732,0.0,2588.3221
perpendicular,2,0,0.00258732,0.0,2588.3221
position,2,0,0.00258732,0.0,2588.3221
pregnant,2,0,0.00258732,0.0,2588.3221
slapping,2,0,0.00258732,0.0,2588.3221
straitjacket,2,0,0.00258732,0.0,2588.3221
swap,2,0,0.00258732,0.0,2588.3221
they,2,0,0.00258732,0.0,2588.3221
torture,2,0,0.00258732,0.0,2588.3221
toys,2,0,0.00258732,0.0,2588.3221
sex,93,1,0.12031048,6.623e-05,1789.5624
imminent,14,1,0.01811125,6.623e-05,269.4091
panties,13,1,0.01681759,6.623e-05,250.1667
nipple,9,1,0.01164295,6.623e-05,173.1969
after,15,2,0.01940492,0.00013246,145.4072
ass,6,1,0.00776197,6.623e-05,115.4696
penis,11,2,0.01423027,0.00013246,106.634
own,5,1,0.00646831,6.623e-05,96.2271
stealth,5,1,0.00646831,6.623e-05,96.2271
crotch,4,1,0.00517464,6.623e-05,76.9847
finger,4,1,0.00517464,6.623e-05,76.9847
gag,4,1,0.00517464,6.623e-05,76.9847
armpit,7,2,0.00905563,0.00013246,67.8607
between,26,8,0.03363519,0.00052984,63.3645
clothes,25,8,0.03234153,0.00052984,60.9275
breasts,60,20,0.07761966,0.00132459,58.5555
blindfold,3,1,0.00388098,6.623e-05,57.7422
handcuffs,3,1,0.00388098,6.623e-05,57.7422
navel,3,1,0.00388098,6.623e-05,57.7422
pussy,3,1,0.00388098,6.623e-05,57.7422
forced,5,2,0.00646831,0.00013246,48.4741
licking,5,2,0.00646831,0.00013246,48.4741
gesture,6,3,0.00776197,0.00019869,38.8754
automatic,2,1,0.00258732,6.623e-05,38.4998
smelling,2,1,0.00258732,6.623e-05,38.4998
suction,2,1,0.00258732,6.623e-05,38.4998
thighs,2,1,0.00258732,6.623e-05,38.4998
underwear,2,1,0.00258732,6.623e-05,38.4998
around,7,4,0.00905563,0.00026492,34.0579
male,7,5,0.00905563,0.00033115,27.2669
breast,27,20,0.03492885,0.00132459,26.3504
under,15,13,0.01940492,0.00086098,22.5131
another,9,8,0.01164295,0.00052984,21.9351
leash,5,5,0.00646831,0.00033115,19.4772
hidden,4,4,0.00517464,0.00026492,19.4633
inside,4,4,0.00517464,0.00026492,19.4633
one,3,3,0.00388098,0.00019869,19.4402
rope,3,3,0.00388098,0.00019869,19.4402
bra,2,2,0.00258732,0.00013246,19.3941
challenge,2,2,0.00258732,0.00013246,19.3941
lipstick,2,2,0.00258732,0.00013246,19.3941
multi,2,2,0.00258732,0.00013246,19.3941
thighhighs,2,2,0.00258732,0.00013246,19.3941
triple,2,2,0.00258732,0.00013246,19.3941
meme,11,12,0.01423027,0.00079475,17.884
double,8,9,0.01034929,0.00059607,17.3353
feet,4,5,0.00517464,0.00033115,15.5824
leg,7,9,0.00905563,0.00059607,15.1686
public,3,4,0.00388098,0.00026492,14.5984
cheek,2,3,0.00258732,0.00019869,12.9618
clothed,2,3,0.00258732,0.00019869,12.9618
legs,2,3,0.00258732,0.00019869,12.9618
son,2,3,0.00258732,0.00019869,12.9618
clothing,3,5,0.00388098,0.00033115,11.6875
open,3,5,0.00388098,0.00033115,11.6875
viewer,3,5,0.00388098,0.00033115,11.6875
body,5,10,0.00646831,0.0006623,9.7533
drinking,2,4,0.00258732,0.00026492,9.7335
goggles,2,4,0.00258732,0.00026492,9.7335
hands,2,4,0.00258732,0.00026492,9.7335
pants,2,4,0.00258732,0.00026492,9.7335
stomach,2,4,0.00258732,0.00026492,9.7335
from,4,9,0.00517464,0.00059607,8.6685
tongue,3,7,0.00388098,0.00046361,8.3554
female,9,22,0.01164295,0.00145705,7.986
foot,2,5,0.00258732,0.00033115,7.7927
shoe,2,5,0.00258732,0.00033115,7.7927
slime,2,5,0.00258732,0.00033115,7.7927
table,2,5,0.00258732,0.00033115,7.7927
skirt,3,8,0.00388098,0.00052984,7.313
through,9,26,0.01164295,0.00172197,6.7581
legwear,2,6,0.00258732,0.00039738,6.4972
wet,2,6,0.00258732,0.00039738,6.4972
wireless,2,6,0.00258732,0.00039738,6.4972
toy,8,25,0.01034929,0.00165574,6.2474
face,6,19,0.00776197,0.00125836,6.1642
