identity_key,candidate_state,human_intent,review_note
anchor_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
animal_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
aqua_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
aqua_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
aqua_sailor_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
ass_zipper,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
bandaid_on_clothes,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
bandana_around_arm,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
bandana_around_neck,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
bandana_over_mouth,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
bead_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
belt_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
black_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
black_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
black_garter,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
black_garter_belt,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
black_garter_straps,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
black_sailor_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
blue_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
blue_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
blue_garter,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
blue_garter_belt,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
blue_garter_straps,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
blue_sailor_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
bow_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
bow_on_wing,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
brown_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
butterfly_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
cat_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
chain_around_arm,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
chain_around_neck,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
checkered_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
cheek_piercing,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
chest_harness,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
choker_jewel,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
clerical_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
collar_chain_(jewelry),FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
collar_jewel,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
collar_tabs,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
contrast_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
cow_print_gloves,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
crescent_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
cross-laced_clothes,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
cross-laced_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
cross-laced_corset,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
cross-laced_gloves,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
cross_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
crotch_strap,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
crotch_zipper,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
detached_collar,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
diamond_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
disposable_gloves,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
dss_choker,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
earphones_on_animal_ears,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
elbow_gloves,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
eye_on_hat,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
eyepatch_bikini,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
eyepatch_slingshot_swimsuit,FULL_REVIEW_CLOTHING_ACCESSORY_V27,,
