identity_key,candidate_state,human_intent,review_note
adhesive_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
american_flag_print_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
animal_band_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
aqua_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
aqua_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
aqua_sports_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
back-print_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
bear_print_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
belt_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
black_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
black_male_underwear,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
black_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
black_sports_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
blue_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
blue_male_underwear,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
blue_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
blue_sports_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
bow_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
bow_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
bra_strap,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
bridal_lingerie,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
bridgeless_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
brown_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
brown_male_underwear,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
brown_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
brown_sports_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
camouflage_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
camouflage_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cat_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cat_ear_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cat_lingerie,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cat_print_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
checkered_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
checkered_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cherry_print_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cotton_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cow_print_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cow_print_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cross-laced_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
cross-laced_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
embroidered_bra,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
embroidered_panties,FULL_REVIEW_CLOTHING_EVERYDAY_EXPOSURE_V34,,
