identity_key,boundary_flags,candidate_state
a-line_dress,,CLEAN_FOR_FRESH_HOLDOUT
adidas,,CLEAN_FOR_FRESH_HOLDOUT
air_jordan,,CLEAN_FOR_FRESH_HOLDOUT
air_jordan_1,,CLEAN_FOR_FRESH_HOLDOUT
air_max,,CLEAN_FOR_FRESH_HOLDOUT
alternate_bottom_wear,,CLEAN_FOR_FRESH_HOLDOUT
alternate_footwear,,CLEAN_FOR_FRESH_HOLDOUT
alternate_legwear,,CLEAN_FOR_FRESH_HOLDOUT
alternate_skirt_length,,CLEAN_FOR_FRESH_HOLDOUT
alternate_sleeve_length,,CLEAN_FOR_FRESH_HOLDOUT
american_flag_dress,,CLEAN_FOR_FRESH_HOLDOUT
american_flag_legwear,,CLEAN_FOR_FRESH_HOLDOUT
american_flag_neckwear,,CLEAN_FOR_FRESH_HOLDOUT
american_flag_pants,,CLEAN_FOR_FRESH_HOLDOUT
american_flag_shirt,,CLEAN_FOR_FRESH_HOLDOUT
american_flag_skirt,,CLEAN_FOR_FRESH_HOLDOUT
animal-themed_footwear,,CLEAN_FOR_FRESH_HOLDOUT
animal_ear_footwear,,CLEAN_FOR_FRESH_HOLDOUT
animal_ear_legwear,,CLEAN_FOR_FRESH_HOLDOUT
animal_shoes,,CLEAN_FOR_FRESH_HOLDOUT
animal_slippers,,CLEAN_FOR_FRESH_HOLDOUT
ankle_boots,,CLEAN_FOR_FRESH_HOLDOUT
ankle_socks,,CLEAN_FOR_FRESH_HOLDOUT
ao_dai,,CLEAN_FOR_FRESH_HOLDOUT
aoqun,,CLEAN_FOR_FRESH_HOLDOUT
apron,,CLEAN_FOR_FRESH_HOLDOUT
aqua_apron,,CLEAN_FOR_FRESH_HOLDOUT
aqua_boots,,CLEAN_FOR_FRESH_HOLDOUT
aqua_buruma,,CLEAN_FOR_FRESH_HOLDOUT
aqua_camisole,,CLEAN_FOR_FRESH_HOLDOUT
aqua_cape,,CLEAN_FOR_FRESH_HOLDOUT
aqua_capelet,,CLEAN_FOR_FRESH_HOLDOUT
aqua_cardigan,,CLEAN_FOR_FRESH_HOLDOUT
aqua_cloak,,CLEAN_FOR_FRESH_HOLDOUT
aqua_coat,,CLEAN_FOR_FRESH_HOLDOUT
aqua_dress,,CLEAN_FOR_FRESH_HOLDOUT
aqua_gloves,,CLEAN_FOR_FRESH_HOLDOUT
aqua_hanfu,,CLEAN_FOR_FRESH_HOLDOUT
aqua_haori,,CLEAN_FOR_FRESH_HOLDOUT
aqua_hoodie,,CLEAN_FOR_FRESH_HOLDOUT
aqua_jacket,,CLEAN_FOR_FRESH_HOLDOUT
aqua_kimono,,CLEAN_FOR_FRESH_HOLDOUT
aqua_leg_warmers,,CLEAN_FOR_FRESH_HOLDOUT
aqua_overalls,,CLEAN_FOR_FRESH_HOLDOUT
aqua_pajamas,,CLEAN_FOR_FRESH_HOLDOUT
aqua_pants,,CLEAN_FOR_FRESH_HOLDOUT
aqua_robe,,CLEAN_FOR_FRESH_HOLDOUT
aqua_sandals,,CLEAN_FOR_FRESH_HOLDOUT
aqua_sarong,,CLEAN_FOR_FRESH_HOLDOUT
aqua_shirt,,CLEAN_FOR_FRESH_HOLDOUT
aqua_shoes,,CLEAN_FOR_FRESH_HOLDOUT
aqua_shorts,,CLEAN_FOR_FRESH_HOLDOUT
aqua_shrug,,CLEAN_FOR_FRESH_HOLDOUT
aqua_skirt,,CLEAN_FOR_FRESH_HOLDOUT
aqua_sleeves,,CLEAN_FOR_FRESH_HOLDOUT
aqua_socks,,CLEAN_FOR_FRESH_HOLDOUT
aqua_suit,,CLEAN_FOR_FRESH_HOLDOUT
aqua_sweater,,CLEAN_FOR_FRESH_HOLDOUT
aqua_sweater_vest,,CLEAN_FOR_FRESH_HOLDOUT
aqua_tank_top,,CLEAN_FOR_FRESH_HOLDOUT
aqua_tunic,,CLEAN_FOR_FRESH_HOLDOUT
aqua_vest,,CLEAN_FOR_FRESH_HOLDOUT
aran_legwear,,CLEAN_FOR_FRESH_HOLDOUT
aran_sweater,,CLEAN_FOR_FRESH_HOLDOUT
argyle_cape,,CLEAN_FOR_FRESH_HOLDOUT
argyle_cardigan,,CLEAN_FOR_FRESH_HOLDOUT
argyle_cloak,,CLEAN_FOR_FRESH_HOLDOUT
argyle_clothes,,CLEAN_FOR_FRESH_HOLDOUT
argyle_coat,,CLEAN_FOR_FRESH_HOLDOUT
