identity_key,boundary_flags,candidate_state
a-line_dress,,SOURCE
adidas,,SOURCE
air_jordan,,SOURCE
air_jordan_1,,SOURCE
air_max,,SOURCE
alternate_bottom_wear,,SOURCE
alternate_footwear,,SOURCE
alternate_legwear,,SOURCE
alternate_skirt_length,,SOURCE
alternate_sleeve_length,,SOURCE
american_flag_bikini,,SOURCE
american_flag_dress,,SOURCE
american_flag_legwear,,SOURCE
american_flag_neckwear,,SOURCE
american_flag_pants,,SOURCE
american_flag_shirt,,SOURCE
american_flag_skirt,,SOURCE
american_flag_swimsuit,,SOURCE
angel's_swimsuit_(idolmaster),,SOURCE
angel_leotard,,SOURCE
animal-themed_footwear,,SOURCE
animal_ear_footwear,,SOURCE
animal_ear_legwear,,SOURCE
animal_shoes,,SOURCE
animal_slippers,,SOURCE
ankle_boots,,SOURCE
ankle_socks,,SOURCE
ao_dai,,SOURCE
aoqun,,SOURCE
apron,,SOURCE
aqua_apron,,SOURCE
aqua_bikini,,SOURCE
aqua_bodysuit,,SOURCE
aqua_boots,,SOURCE
aqua_buruma,,SOURCE
aqua_camisole,,SOURCE
aqua_cape,,SOURCE
aqua_capelet,,SOURCE
aqua_cardigan,,SOURCE
aqua_cloak,,SOURCE
aqua_coat,,SOURCE
aqua_dress,,SOURCE
aqua_gloves,,SOURCE
aqua_hanfu,,SOURCE
aqua_haori,,SOURCE
aqua_hoodie,,SOURCE
aqua_jacket,,SOURCE
aqua_kimono,,SOURCE
aqua_leg_warmers,,SOURCE
aqua_leotard,,SOURCE
aqua_male_swimwear,,SOURCE
aqua_one-piece_swimsuit,,SOURCE
aqua_overalls,,SOURCE
aqua_pajamas,,SOURCE
aqua_pants,,SOURCE
aqua_pantyhose,,SOURCE
aqua_robe,,SOURCE
aqua_sandals,,SOURCE
aqua_sarong,,SOURCE
aqua_shirt,,SOURCE
aqua_shoes,,SOURCE
aqua_shorts,,SOURCE
aqua_shrug,,SOURCE
aqua_skirt,,SOURCE
aqua_sleeves,,SOURCE
aqua_socks,,SOURCE
aqua_suit,,SOURCE
aqua_sweater,,SOURCE
aqua_sweater_vest,,SOURCE
aqua_tank_top,,SOURCE
aqua_thighhighs,,SOURCE
aqua_tunic,,SOURCE
aqua_vest,,SOURCE
aran_legwear,,SOURCE
aran_sweater,,SOURCE
argyle_bikini,,SOURCE
argyle_cape,,SOURCE
argyle_cardigan,,SOURCE
argyle_cloak,,SOURCE
argyle_clothes,,SOURCE
argyle_coat,,SOURCE
argyle_dress,,SOURCE
argyle_footwear,,SOURCE
argyle_gloves,,SOURCE
argyle_jacket,,SOURCE
argyle_kimono,,SOURCE
argyle_pants,,SOURCE
argyle_pantyhose,,SOURCE
argyle_shirt,,SOURCE
argyle_skirt,,SOURCE
argyle_sleeves,,SOURCE
argyle_socks,,SOURCE
argyle_sweater,,SOURCE
argyle_sweater_vest,,SOURCE
argyle_thighhighs,,SOURCE
argyle_vest,,SOURCE
arm_warmers,,SOURCE
arm_wrap,,SOURCE
arts_shirt_(fate),,SOURCE
ascot,,SOURCE
asian_indian_clothes,,SOURCE
asymmetrical_bikini,,SOURCE
asymmetrical_bodysuit,,SOURCE
asymmetrical_clothes,,SOURCE
asymmetrical_coat,,SOURCE
asymmetrical_dress,,SOURCE
asymmetrical_eyewear,,SOURCE
asymmetrical_footwear,,SOURCE
asymmetrical_gloves,,SOURCE
asymmetrical_jacket,,SOURCE
asymmetrical_legwear,,SOURCE
asymmetrical_mask,,SOURCE
asymmetrical_one-piece_swimsuit,,SOURCE
asymmetrical_pants,,SOURCE
asymmetrical_shirt,,SOURCE
asymmetrical_shorts,,SOURCE
asymmetrical_skirt,,SOURCE
asymmetrical_sleeves,,SOURCE
athletic_leotard,,SOURCE
aviator_cap,,SOURCE
aviator_glasses,,SOURCE
aviator_goggles,,SOURCE
aviator_sunglasses,,SOURCE
aztec_clothes,,SOURCE
babydoll_t-shirt,,SOURCE
back-seamed_legwear,,SOURCE
backwards_hat,,SOURCE
baggy_clothes,,SOURCE
baggy_pants,,SOURCE
baggy_shorts,,SOURCE
balaclava,,SOURCE
ballet_boots,,SOURCE
ballet_class_clothes,,SOURCE
ballet_dress,,SOURCE
ballet_slippers,,SOURCE
banbi,,SOURCE
band_shirt,,SOURCE
bandeau,,SOURCE
barber_cape,,SOURCE
baseball_cap,,SOURCE
basketball_shorts,,SOURCE
bat_mask,,SOURCE
bath_yukata,,SOURCE
bathrobe,,SOURCE
beanie,,SOURCE
bear_hat,,SOURCE
bear_hood,,SOURCE
bear_mask,,SOURCE
bear_slippers,,SOURCE
bearskin_cap,,SOURCE
beer_hat,,SOURCE
beizi_(clothing),,SOURCE
bell-bottoms,,SOURCE
bell_sleeves,,SOURCE
belt,,SOURCE
belt_boots,,SOURCE
belt_skirt,,SOURCE
belted_coat,,SOURCE
belted_jacket,,SOURCE
belted_leg_warmers,,SOURCE
beoseon,,SOURCE
beret,,SOURCE
bib,,SOURCE
bijia,,SOURCE
bike_jersey,,SOURCE
bike_shorts,,SOURCE
biker_clothes,,SOURCE
bikesuit,,SOURCE
bikini,,SOURCE
bikini_jeans,,SOURCE
bikini_ribbon,,SOURCE
bikini_shorts,,SOURCE
bikini_skirt,,SOURCE
bird_hat,,SOURCE
bird_hood,,SOURCE
bird_mask,,SOURCE
biretta,,SOURCE
black_apron,,SOURCE
black_arm_warmers,,SOURCE
black_babydoll,,SOURCE
black_bandeau,,SOURCE
black_bikini,,SOURCE
black_bloomers,,SOURCE
black_bodice,,SOURCE
black_bodysuit,,SOURCE
black_boots,,SOURCE
black_buruma,,SOURCE
black_camisole,,SOURCE
black_cape,,SOURCE
black_capelet,,SOURCE
black_cardigan,,SOURCE
black_changpao,,SOURCE
black_chaps,,SOURCE
black_chemise,,SOURCE
black_cloak,,SOURCE
black_coat,,SOURCE
black_coat_(kingdom_hearts),,SOURCE
black_coif,,SOURCE
black_corset,,SOURCE
black_culottes,,SOURCE
black_dougi,,SOURCE
black_dress,,SOURCE
black_fundoshi,,SOURCE
black_gloves,,SOURCE
black_gorget,,SOURCE
black_hakama,,SOURCE
black_hanbok,,SOURCE
black_hanfu,,SOURCE
black_haori,,SOURCE
black_hat,,SOURCE
black_hiphighs,,SOURCE
black_hood,,SOURCE
black_hoodie,,SOURCE
black_jacket,,SOURCE
black_jumpsuit,,SOURCE
black_kimono,,SOURCE
black_leg_warmers,,SOURCE
black_leggings,,SOURCE
black_leotard,,SOURCE
black_loincloth,,SOURCE
black_male_swimwear,,SOURCE
black_mask,,SOURCE
black_mittens,,SOURCE
black_neckerchief,,SOURCE
black_necktie,,SOURCE
black_negligee,,SOURCE
black_nightgown,,SOURCE
black_one-piece_swimsuit,,SOURCE
black_overalls,,SOURCE
black_overskirt,,SOURCE
black_pajamas,,SOURCE
black_pants,,SOURCE
black_pantyhose,,SOURCE
black_poncho,,SOURCE
black_robe,,SOURCE
black_romper,,SOURCE
black_sandals,,SOURCE
black_sarong,,SOURCE
black_scapular,,SOURCE
black_shawl,,SOURCE
black_shirt,,SOURCE
black_shoes,,SOURCE
black_shorts,,SOURCE
black_shrug,,SOURCE
