identity_key,candidate_state,human_intent,review_note
bra_aside,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
bra_over_clothes,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
bra_tug,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
clothed_male_underwear_female,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
doll_panty_check,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
loose_panties,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
no_bra,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
open_bra,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_around_ankles,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_around_knees,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_around_one_ankle,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_around_one_finger,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_around_toe,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_in_mouth,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_on_head,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_over_clothes,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_over_leggings,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_over_pantyhose,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_under_bike_shorts,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_under_bloomers,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_under_buruma,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_under_pantyhose,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panties_under_shorts,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
panty_tug,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
see-through_bra,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
sports_bra_pull,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
topless_male,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
torn_bra,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
torn_panties,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
torn_sports_bra,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
torn_underwear,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
underwear_locked,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
underwear_on_head,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
underwear_theft,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
untied_panties,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
unworn_bra,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
unworn_male_underwear,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
unworn_panties,FULL_REVIEW_CLOTHING_EXPOSURE_INTIMATE_GENERAL_V46,,
