identity_key,candidate_state,human_intent,review_note
two-tone_leg_warmers,FULL_REVIEW_CLOTHING_MISC_V32,,
u.a._cheerleader_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
u.a._gym_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
u.a._school_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
ubel_(sousou_no_frieren)_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
uchiha_sasuke_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
uchikake,FULL_REVIEW_CLOTHING_MISC_V32,,
ukrainian_clothes,FULL_REVIEW_CLOTHING_MISC_V32,,
ultimate_madoka_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
ultra_recon_squad_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
ultraman_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
umbreon_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
umesato_middle_school_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
un_uniform_(muv-luv),FULL_REVIEW_CLOTHING_MISC_V32,,
under-rim_eyewear,FULL_REVIEW_CLOTHING_MISC_V32,,
under_another's_clothes,FULL_REVIEW_CLOTHING_MISC_V32,,
under_armour,FULL_REVIEW_CLOTHING_MISC_V32,,
undersized_clothes,FULL_REVIEW_CLOTHING_MISC_V32,,
undersuit,FULL_REVIEW_CLOTHING_MISC_V32,,
unicorns_hunter_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
uniform_number,FULL_REVIEW_CLOTHING_MISC_V32,,
unitard,FULL_REVIEW_CLOTHING_MISC_V32,,
universal_federation_army_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
unofficial_precure_costume,FULL_REVIEW_CLOTHING_MISC_V32,,
unofficial_sailor_senshi_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
uranohoshi_school_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
usada_hikaru_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
usada_pekora_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
usami_renko_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
usami_sumireko_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
ushiwakamaru_(fate)_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
usuzan_school_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
utnapishtim_operator_uniform_(blue_archive),FULL_REVIEW_CLOTHING_MISC_V32,,
utx_school_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
uva_academy_school_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
uzumaki_naruto_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
vampire_costume,FULL_REVIEW_CLOTHING_MISC_V32,,
vaporeon_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
vault_suit,FULL_REVIEW_CLOTHING_MISC_V32,,
vegeta_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
veil,FULL_REVIEW_CLOTHING_MISC_V32,,
venom_snake_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
vergil_(devil_may_cry)_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
vermilion_city_school_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
verone_gakuin_school_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_apron,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_clothes,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_dress,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_gloves,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_kimono,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_overalls,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_pajamas,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_sleeves,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_suit,FULL_REVIEW_CLOTHING_MISC_V32,,
vertical-striped_vest,FULL_REVIEW_CLOTHING_MISC_V32,,
very_long_robe,FULL_REVIEW_CLOTHING_MISC_V32,,
victorian_maid,FULL_REVIEW_CLOTHING_MISC_V32,,
viet_lolita,FULL_REVIEW_CLOTHING_MISC_V32,,
vietnamese_clothes,FULL_REVIEW_CLOTHING_MISC_V32,,
viltrumite_clothes,FULL_REVIEW_CLOTHING_MISC_V32,,
voile,FULL_REVIEW_CLOTHING_MISC_V32,,
volleyball_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
wagnaria_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
waist_apron,FULL_REVIEW_CLOTHING_MISC_V32,,
waistband,FULL_REVIEW_CLOTHING_MISC_V32,,
wandenreich_uniform,FULL_REVIEW_CLOTHING_MISC_V32,,
wanderer_(genshin_impact)_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
warrior_(dq3)_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
warspite_(kancolle)_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
washing_clothes,FULL_REVIEW_CLOTHING_MISC_V32,,
water_dress,FULL_REVIEW_CLOTHING_MISC_V32,,
watson_amelia_(cosplay),FULL_REVIEW_CLOTHING_MISC_V32,,
