identity_key,boundary_flags,candidate_state
a-line_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
adidas,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
air_jordan,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
air_jordan_1,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
air_max,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
alternate_bottom_wear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
alternate_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
alternate_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
alternate_skirt_length,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
alternate_sleeve_length,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
american_flag_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
american_flag_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
american_flag_neckwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
american_flag_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
american_flag_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
american_flag_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
animal-themed_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
animal_ear_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
animal_ear_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
animal_shoes,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
animal_slippers,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
ankle_boots,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
ankle_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
ao_dai,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aoqun,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
apron,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_apron,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_boots,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_buruma,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_camisole,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_cape,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_capelet,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_cardigan,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_cloak,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_coat,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_gloves,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_hanfu,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_haori,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_hoodie,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_jacket,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_kimono,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_leg_warmers,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_overalls,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_pajamas,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_robe,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_sandals,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_sarong,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_shoes,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_shorts,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_shrug,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_sleeves,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_suit,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_sweater,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_sweater_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_tank_top,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_tunic,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aqua_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
aran_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_4
