identity_key,boundary_reason,candidate_state
a-line_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
adidas,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
air_jordan,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
air_jordan_1,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
air_max,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
alternate_bottom_wear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
alternate_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
alternate_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
alternate_skirt_length,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
alternate_sleeve_length,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
american_flag_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
american_flag_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
american_flag_neckwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
american_flag_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
american_flag_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
american_flag_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
animal-themed_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
animal_ear_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
animal_ear_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
animal_shoes,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
animal_slippers,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
ankle_boots,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
ankle_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
ao_dai,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aoqun,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
apron,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_apron,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_boots,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_cape,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_capelet,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_cardigan,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_cloak,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_coat,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_gloves,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_hanfu,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_haori,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_hoodie,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_jacket,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_kimono,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_leg_warmers,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_overalls,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_pajamas,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_robe,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_sandals,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_sarong,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_shoes,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_shorts,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_shrug,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_sleeves,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_suit,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_sweater,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_sweater_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_tank_top,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_tunic,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aqua_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aran_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aran_sweater,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_cape,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_cardigan,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_cloak,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_clothes,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_coat,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_gloves,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_jacket,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_kimono,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_sleeves,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_sweater,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_sweater_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
argyle_vest,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
arm_warmers,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
arm_wrap,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
arts_shirt_(fate),,CLEAN_FOR_FRESH_HOLDOUT_V12_6
ascot,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asian_indian_clothes,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_clothes,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_coat,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_eyewear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_gloves,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_jacket,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_mask,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_shorts,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
asymmetrical_sleeves,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aviator_cap,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aviator_glasses,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aviator_goggles,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aviator_sunglasses,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
aztec_clothes,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
back-seamed_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
backwards_hat,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
baggy_clothes,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
baggy_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_6
