identity_key,priority_band,is_general,is_special,general_primary_path,special_id,generation_family,issue104_risk
tentacle_pit,P1_SPECIAL_OR_OVERLAP,YES,YES,PLACE_BACKGROUND,1848,NONHUMAN_INTERACTION,NO
virgin_destroyer_sweater,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,2527,CLOTHING_EXPOSURE,NO
piss,P1_SPECIAL_OR_OVERLAP,NO,YES,,2553,,NO
penis_in_glove,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,991,DIRECT_COMPOSITE,NO
tickling_pussy,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,955,,NO
erection_under_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2195,BODY_STATE,NO
fingering,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,174,INSERTION_STRUCTURED,NO
crossdress,P1_SPECIAL_OR_OVERLAP,NO,YES,,2658,,NO
onii-shota,P1_SPECIAL_OR_OVERLAP,YES,YES,LIVING_NATURE/CREATURE,773,RELATION_ROLE_CONTEXT,NO
piercing_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2894,CLOTHING_EXPOSURE,NO
clothed_male_nude_female,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2386,CLOTHING_EXPOSURE,NO
rabbit_pasties,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,2484,,NO
prone_bone,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,123,POSE_COMPOSITION,NO
transparent_cleavage,P1_SPECIAL_OR_OVERLAP,NO,YES,,2554,,NO
skirtlift,P1_SPECIAL_OR_OVERLAP,NO,YES,,2775,,NO
bound_ankles,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,1899,RESTRAINT_ACTION,NO
urethral_beads,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,209,INSERTION_STRUCTURED,NO
breeding_kink,P1_SPECIAL_OR_OVERLAP,NO,YES,,2188,,NO
licking_nipples,P1_SPECIAL_OR_OVERLAP,NO,YES,,1384,,NO
guided_crotch_grab,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,36,ACTION_INTERACTION,NO
cumdrip_through_clothes,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2956,CLOTHING_EXPOSURE,NO
anal_hook,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,1813,RESTRAINT_IMPLEMENT,NO
kankaku_shadan,P1_SPECIAL_OR_OVERLAP,YES,YES,,1852,NONHUMAN_INTERACTION,NO
lift_skirt,P1_SPECIAL_OR_OVERLAP,NO,YES,,2756,,NO
somnophilia,P1_SPECIAL_OR_OVERLAP,NO,YES,,1389,,NO
sucking_on_multiple_breasts,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,2954,ACTION_INTERACTION,NO
hip_vent,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,2219,CLOTHING_EXPOSURE,NO
shared_artificial_vagina,P1_SPECIAL_OR_OVERLAP,NO,YES,,1571,,NO
breast_curtain_lift,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,2910,CLOTHING_EXPOSURE,NO
novagina,P1_SPECIAL_OR_OVERLAP,NO,YES,,1637,,NO
sounding,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,600,INSERTION_STRUCTURED,NO
knees_to_chest,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1750,POSE_COMPOSITION,NO
pec_fuck,P1_SPECIAL_OR_OVERLAP,NO,YES,,1498,,NO
prostitute,P1_SPECIAL_OR_OVERLAP,NO,YES,,1733,,NO
erect_clit,P1_SPECIAL_OR_OVERLAP,NO,YES,,2583,,NO
cleave_gag,P1_SPECIAL_OR_OVERLAP,YES,YES,OBJECT_PROP,1820,RESTRAINT_IMPLEMENT,NO
crotch_cutout,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,2087,CLOTHING_EXPOSURE,NO
dubcon,P1_SPECIAL_OR_OVERLAP,NO,YES,,444,,NO
vibro,P1_SPECIAL_OR_OVERLAP,NO,YES,,308,,NO
blood_from_vagina,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,1174,,NO
