cluster_id,cluster_position,semantic_bucket,generation_family,generation_role,general_root,identity_key,priority_band,is_general,is_special,general_primary_path,special_id,issue104_risk
C001,1,OTHER,,(none),(none),age_play,P1_SPECIAL_OR_OVERLAP,NO,YES,,1675,NO
C001,2,OTHER,,(none),(none),ass-up_head-down,P1_SPECIAL_OR_OVERLAP,NO,YES,,1610,NO
C001,3,OTHER,,(none),(none),ass_hole,P1_SPECIAL_OR_OVERLAP,NO,YES,,1580,NO
C001,4,OTHER,,(none),(none),ball_bite,P1_SPECIAL_OR_OVERLAP,NO,YES,,1688,NO
C001,5,OTHER,,(none),(none),balls_deep,P1_SPECIAL_OR_OVERLAP,NO,YES,,1346,NO
C001,6,OTHER,,(none),(none),beastiality,P1_SPECIAL_OR_OVERLAP,NO,YES,,1626,NO
C001,7,OTHER,,(none),(none),beheading,P1_SPECIAL_OR_OVERLAP,NO,YES,,1735,NO
C001,8,OTHER,,(none),(none),bukake,P1_SPECIAL_OR_OVERLAP,NO,YES,,1619,NO
C001,9,OTHER,,(none),(none),bukakke,P1_SPECIAL_OR_OVERLAP,NO,YES,,1620,NO
C001,10,OTHER,,(none),(none),butt_cheeks,P1_SPECIAL_OR_OVERLAP,NO,YES,,2638,NO
C001,11,OTHER,,(none),(none),butt_hole,P1_SPECIAL_OR_OVERLAP,NO,YES,,1582,NO
C001,12,OTHER,,(none),(none),butthole,P1_SPECIAL_OR_OVERLAP,NO,YES,,1583,NO
C001,13,OTHER,,(none),(none),camel_toe,P1_SPECIAL_OR_OVERLAP,NO,YES,,1588,NO
C001,14,OTHER,,(none),(none),cfnf,P1_SPECIAL_OR_OVERLAP,NO,YES,,2265,NO
C001,15,OTHER,,(none),(none),cfnm,P1_SPECIAL_OR_OVERLAP,NO,YES,,2266,NO
C001,16,OTHER,,(none),(none),chastity_cage_removed,P1_SPECIAL_OR_OVERLAP,NO,YES,,1558,NO
C001,17,OTHER,,(none),(none),cleavage_window,P1_SPECIAL_OR_OVERLAP,NO,YES,,2532,NO
C001,18,OTHER,,(none),(none),clit,P1_SPECIAL_OR_OVERLAP,NO,YES,,2538,NO
C001,19,OTHER,,(none),(none),clit_slip,P1_SPECIAL_OR_OVERLAP,NO,YES,,1729,NO
C001,20,OTHER,,(none),(none),clitslip,P1_SPECIAL_OR_OVERLAP,NO,YES,,1734,NO
C001,21,OTHER,,(none),(none),clothing_down,P1_SPECIAL_OR_OVERLAP,NO,YES,,2739,NO
C001,22,OTHER,,(none),(none),cmnf,P1_SPECIAL_OR_OVERLAP,NO,YES,,2267,NO
C001,23,OTHER,,(none),(none),cooperative_grinding,P1_SPECIAL_OR_OVERLAP,NO,YES,,1677,NO
C001,24,OTHER,,(none),(none),covered_erection,P1_SPECIAL_OR_OVERLAP,NO,YES,,1736,NO
C001,25,OTHER,,(none),(none),creampie_eating,P1_SPECIAL_OR_OVERLAP,NO,YES,,1550,NO
C001,26,OTHER,,(none),(none),cross_section,P1_SPECIAL_OR_OVERLAP,NO,YES,,2013,NO
C001,27,OTHER,,(none),(none),crossdress,P1_SPECIAL_OR_OVERLAP,NO,YES,,2658,NO
C001,28,OTHER,,(none),(none),crotchless_clothes,P1_SPECIAL_OR_OVERLAP,NO,YES,,2558,NO
C001,29,OTHER,,(none),(none),cunillingus,P1_SPECIAL_OR_OVERLAP,NO,YES,,1622,NO
C001,30,OTHER,,(none),(none),cunnillingus,P1_SPECIAL_OR_OVERLAP,NO,YES,,1623,NO
C001,31,OTHER,,(none),(none),descensored,P1_SPECIAL_OR_OVERLAP,NO,YES,,1578,NO
C001,32,OTHER,,(none),(none),doggy_style,P1_SPECIAL_OR_OVERLAP,NO,YES,,138,NO
C001,33,OTHER,,(none),(none),erect_clit,P1_SPECIAL_OR_OVERLAP,NO,YES,,2583,NO
C001,34,OTHER,,(none),(none),facesitting,P1_SPECIAL_OR_OVERLAP,NO,YES,,140,NO
C001,35,OTHER,,(none),(none),felatio,P1_SPECIAL_OR_OVERLAP,NO,YES,,1593,NO
C001,36,OTHER,,(none),(none),fingering_ass,P1_SPECIAL_OR_OVERLAP,NO,YES,,1390,NO
C001,37,OTHER,,(none),(none),fingering_asshole,P1_SPECIAL_OR_OVERLAP,NO,YES,,1391,NO
C001,38,OTHER,,(none),(none),foreskin_biting,P1_SPECIAL_OR_OVERLAP,NO,YES,,1564,NO
C001,39,OTHER,,(none),(none),foreskin_retraction,P1_SPECIAL_OR_OVERLAP,NO,YES,,1468,NO
C001,40,OTHER,,(none),(none),g_string,P1_SPECIAL_OR_OVERLAP,NO,YES,,2696,NO
