identity_key,candidate_cluster,candidate_state,human_intent,review_note
frilled_tankini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
front-tie_bikini_top,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
front_zipper_swimsuit_(realise),GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
fur-trimmed_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
fur-trimmed_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
fur-trimmed_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
fur_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
german_flag_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gingham_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
glowing_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gold_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gold_corset,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gold_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gold_one-piece_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gold_slingshot_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gold_thong,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gradient_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gradient_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
gradient_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
green_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
green_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
green_corset,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
green_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
green_male_swimwear,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
green_one-piece_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
green_slingshot_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
grey_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
grey_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
grey_corset,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
grey_garter_straps,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
grey_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
grey_male_swimwear,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
grey_one-piece_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
half-leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
halter_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
harness,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
harness_belt,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
heart_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
heattech_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
high-waist_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
high_heel_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
highleg,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
highleg_buruma,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
highleg_dress,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
highleg_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
highleg_springsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
hololive_summer_2022_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
hololive_summer_2023_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
hooded_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
hooded_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
impossible_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
impossible_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
impossible_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
italian_flag_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
lace-trimmed_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
lace-trimmed_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
lace-trimmed_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
lace_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_bodysuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_boots,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_corset,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_dress,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_gloves,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_hiphighs,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_jacket,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_legwear,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_pants,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_shirt,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_shorts,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_shrug,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_sleeves,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_thigh_boots,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_thighhighs,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
latex_top,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
layered_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
layered_swimsuit,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
leaf_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
leaf_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
leather_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
leather_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
legwear_garter,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
leopard_print_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
linked_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
maid_bikini,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
maid_leotard,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
male_swimwear,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
male_thong,GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,FULL_REVIEW_GENERAL_CLOTHING_EVERYDAY_SEXUALIZED_V70_BATCH2,,
