identity_key,candidate_cluster,candidate_state,human_intent,review_note
unworn_pants,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_pantyhose,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_ribbon,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_ring,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_robe,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_sandals,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_sarong,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_scarf,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_scrunchie,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_shirt,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_shoes,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_shorts,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_skirt,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_sleeves,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_slippers,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_socks,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_sweater,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_swim_cap,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_thighhighs,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_veil,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_vest,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
unworn_wig,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
up_sleeve,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
upshirt,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
upshorts,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
veil_lift,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
vest_lift,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
visor_lift,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
wardrobe_error,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,FULL_REVIEW_GENERAL_CLOTHING_STATE_EXPOSURE_NONE_V90_BATCH7,,
