cluster_key,rows,general_path,lex_flags,examples
CLOTHING/EVERYDAY|NONE,3353,CLOTHING/EVERYDAY,NONE,vertical-striped_headwear;pink_bandana;red_male_swimwear;novelty_codpiece;swimsuit_skirt;red_tailcoat;gingham_sleeves;fold-over_collar;alternate_bottom_wear;polka_dot_pajamas
OBJECT_PROP/DAILY|NONE,2714,OBJECT_PROP/DAILY,NONE,toy_robot;cookbook;party_popper;energy_barrier;print_bag;rug;animal_cutout;insulated_delivery_bag;paper_plate;trading_card
(none)|NONE,2341,(none),NONE,haru_desu_yo;gamilas;shinsoo_(tower_of_god);milo_and_akouo;morito_(sidonia_no_kishi);good_morning;yakusoku_no_passerelle_(project_sekai);neko_nabe;spin-spin_(site);hare_hare_yukai
CLOTHING/ACCESSORY|NONE,1977,CLOTHING/ACCESSORY,NONE,print_scarf;green_belt;round_collar;cracked_mask;gold_chain;chain_belt;ankle_lace-up;green_headscarf;archery_shooting_glove;neck_feathers
ACTION_CONTACT/INTERACTION|NONE,1860,ACTION_CONTACT/INTERACTION,NONE,lifting_person;\n/;cutting;holding_own_ankle;homework;grabbing_another's_hand;fireman's_carry;dolls_kissing;paper_on_head;feet_on_table
BODY_PART|NONE,1708,BODY_PART,NONE,glowing_hands;taped_arms;snakebite_(piercing);red_hands;scar_on_chin;alternate_wing_color;nobiiru_arm;battle_damage;moth_wings;multiple_head_bumps
CLOTHING/COSTUME|NONE,1219,CLOTHING/COSTUME,NONE,akuma_homura_(cosplay);side-tie_costume;lilith_(darkstalkers)_(cosplay);kanna_(blue_archive)_(cosplay);tail_armor;cure_happy_(cosplay);hasshaku-sama_(cosplay);sailor_moon_(cosplay);inoue_takina_(cosplay);armor_under_clothes
OBJECT_PROP/WEAPON|NONE,1054,OBJECT_PROP/WEAPON,NONE,plasma_pistol;h&k_mp5k;adaptive_combat_rifle;missile;see-through_magazine_(weapon);luger_p08;claw_(weapon);caliburn_(fate);h&k_hk33;power_fist
STYLE_QUALITY_META|NONE,950,STYLE_QUALITY_META,NONE,buttercup_redraw_challenge_(meme);split_crop;bryan_lee_o'malley_(style);partially_colored;white_outline;dark_foreground;zun_(style);ankha_zone_(meme);ascii_art;fading_border
OBJECT_PROP/FOOD|NONE,803,OBJECT_PROP/FOOD,NONE,galette_(food);hot_chocolate;bitter_melon;fanta;red_wine;tsuyu_sauce;senbei;condiment_packet;pokeblock;pineapple_slice
ACTION_CONTACT/OBJECT_USE|NONE,754,ACTION_CONTACT/OBJECT_USE,NONE,holding_floatie;stop_(gesture);shopping;aiming;holding_iv_stand;holding_poker_chip;applying_sunscreen;pouring_onto_self;shaving_another;text_messaging
PERSON_COUNT|NONE,745,PERSON_COUNT,NONE,landsknecht;ninja;step-siblings;4others;actor_connection;burmecian;night_lords;bad_end_precure;chipmunk_girl;animal_realm_yakuza_(touhou)
POSE_MOVEMENT|NONE,727,POSE_MOVEMENT,NONE,cheek_rest;fleeing;z-move_trainer_pose;x_fingers;vocaloid_boxart_pose;clenched_hand;streaking;jonathan_joestar's_pose;onion_(pikmin);on_chair
CLOTHING_STATE_EXPOSURE|NONE,726,CLOTHING_STATE_EXPOSURE,NONE,pants_tucked_in;loose_clothes;jacket_on_shoulders;clothes_tug;exploding_clothes;cross-laced_cutout;taut_leotard;kimono_on_shoulders;earphones_around_neck;torn_unitard
CLOTHING/UNIFORM|NONE,636,CLOTHING/UNIFORM,NONE,tokiwadai_school_uniform;soviet_school_uniform;karate_gi;tatenashi_high_school_uniform;herensuge_girls_academy_school_uniform;makoto_mirai_academy_middle_school_uniform;kuho_girls_academy_school_uniform;cycling_uniform;brazilian_national_soccer_team_uniform;pikarigaoka_middle_school_uniform
COLOR_APPEARANCE|NONE,494,COLOR_APPEARANCE,NONE,black_liquid;tomato_print;flag_nails;patterned_skin;ornate_border;camouflage_paint;metal_gear_(robot);watermelon_print;calico_(pattern);english_bond
OBJECT_PROP/VEHICLE|NONE,462,OBJECT_PROP/VEHICLE,NONE,dragoon_(kirby);yamato_(battleship);honda_integra;mi-24;alfa_romeo;hot_air_balloon;wind_glider;semi_truck;human-drawn_vehicle;military_truck
EXPRESSION_EMOTION|NONE,358,EXPRESSION_EMOTION,NONE,crying_with_eyes_open;o_o;wall-eyed;ecstasy;muscle_awe;;|;puckered_face;fingersmile;affectionate;eye_twitch
OBJECT_PROP|NONE,232,OBJECT_PROP,NONE,valve;bauxite;watch;gn_drive;viola_(instrument);amber_(gemstone);1-up_mushroom;artifact_(genshin_impact);ventilation_fan;voodoo_doll
