identity_key,general_path,general_confidence,lex_flags,cluster_key,cluster_size,phase
saddle_shoes,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,DISCOVERY
frilled_babydoll,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,DISCOVERY
red_poncho,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,DISCOVERY
military_jacket,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,DISCOVERY
brown_cloak,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,DISCOVERY
cross-laced_shorts,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,DISCOVERY
fishnet_kneehighs,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,HOLDOUT
aqua_shirt,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,HOLDOUT
mary_janes,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,HOLDOUT
hakama_short_skirt,CLOTHING/EVERYDAY,MEDIUM,NONE,CLOTHING/EVERYDAY|NONE,3353,HOLDOUT
ribbed_shorts,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,HOLDOUT
green_capelet,CLOTHING/EVERYDAY,HIGH,NONE,CLOTHING/EVERYDAY|NONE,3353,HOLDOUT
webpage,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,DISCOVERY
lapis_lazuli_(gemstone),OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,DISCOVERY
power_tool,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,DISCOVERY
stuffed_tiger,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,DISCOVERY
pop_filter,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,DISCOVERY
board_game,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,DISCOVERY
hat,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,HOLDOUT
wooden_box,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,HOLDOUT
head_cage,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,HOLDOUT
flower_sticker,OBJECT_PROP/DAILY,MEDIUM,NONE,OBJECT_PROP/DAILY|NONE,2714,HOLDOUT
astrolabe,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,HOLDOUT
locker,OBJECT_PROP/DAILY,HIGH,NONE,OBJECT_PROP/DAILY|NONE,2714,HOLDOUT
stuffing,(none),LOW,NONE,(none)|NONE,2341,DISCOVERY
witches_5,(none),LOW,NONE,(none)|NONE,2341,DISCOVERY
land_of_illusion_(e.g.o),(none),LOW,NONE,(none)|NONE,2341,DISCOVERY
g'ie_(hundred_line),(none),LOW,NONE,(none)|NONE,2341,DISCOVERY
ring_of_light_(blue_archive),(none),LOW,NONE,(none)|NONE,2341,DISCOVERY
shell_(company),(none),LOW,NONE,(none)|NONE,2341,DISCOVERY
orange_petals,(none),LOW,NONE,(none)|NONE,2341,HOLDOUT
ei_ei_okotta?_(meme),(none),LOW,NONE,(none)|NONE,2341,HOLDOUT
middle_w,(none),LOW,NONE,(none)|NONE,2341,HOLDOUT
yearning-mircalla_(e.g.o),(none),LOW,NONE,(none)|NONE,2341,HOLDOUT
traum_(fate/grand_order),(none),LOW,NONE,(none)|NONE,2341,HOLDOUT
core_medal,(none),LOW,NONE,(none)|NONE,2341,HOLDOUT
cherry_hat_ornament,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,DISCOVERY
pendant_collar,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,DISCOVERY
paw_sleeves,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,DISCOVERY
animal_ear_headphones,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,DISCOVERY
crystal_necklace,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,DISCOVERY
bindi,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,DISCOVERY
frog_hair_ornament,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,HOLDOUT
ankle_bow,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,HOLDOUT
fur_trim,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,HOLDOUT
cropped_rash_guard,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,HOLDOUT
pumpkin_mask,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,HOLDOUT
cat_choker,CLOTHING/ACCESSORY,HIGH,NONE,CLOTHING/ACCESSORY|NONE,1977,HOLDOUT
auction,ACTION_CONTACT/INTERACTION,HIGH,NONE,ACTION_CONTACT/INTERACTION|NONE,1860,DISCOVERY
scam,ACTION_CONTACT/INTERACTION,HIGH,NONE,ACTION_CONTACT/INTERACTION|NONE,1860,DISCOVERY
hand_on_another's_ear,ACTION_CONTACT/INTERACTION,HIGH,NONE,ACTION_CONTACT/INTERACTION|NONE,1860,DISCOVERY
table_tennis,ACTION_CONTACT/INTERACTION,HIGH,NONE,ACTION_CONTACT/INTERACTION|NONE,1860,DISCOVERY
constriction,ACTION_CONTACT/INTERACTION,MEDIUM,NONE,ACTION_CONTACT/INTERACTION|NONE,1860,DISCOVERY
implied_drugging,ACTION_CONTACT/INTERACTION,MEDIUM,NONE,ACTION_CONTACT/INTERACTION|NONE,1860,DISCOVERY
pushing_wheelchair,ACTION_CONTACT/INTERACTION,HIGH,NONE,ACTION_CONTACT/INTERACTION|NONE,1860,HOLDOUT
