identity_key,candidate_cluster,candidate_state,human_intent,review_note
convenient_breasts,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
covering_another's_crotch,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
hair_over_breasts,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
hair_over_crotch,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
hair_over_one_breast,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
long_breast_curtain,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
necktie_between_breasts,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
biting_penis,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
biting_testicles,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
bound_breasts,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
bound_penis,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
nipple_pull,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY,FULL_REVIEW_HIGH_RISK_ELEVEN_CLUSTER_V94,,
