identity_key,candidate_cluster,candidate_state,human_intent,review_note
bikini_tan,GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
corset_piercing,GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
see-through_body,GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
see-through_horns,GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
see-through_tail,GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
slingshot_tan,GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
transparent_hand,GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
transparent_wings,GENERAL_ONLY|BODY_PART|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
lowleg_panties,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
panties_over_bodysuit,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
panties_over_garter_belt,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
panties_under_bodysuit,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
panties_under_leotard,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
panties_under_swimsuit,GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
belt_bondage,OVERLAP|ACTION_CONTACT|(none)|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_SEVENTEEN_CLUSTER_V96,,
