identity_key,candidate_cluster,candidate_state,human_intent,review_note
adjusting_bra,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
adjusting_panties,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
bra_on_head,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
hand_in_bra,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
hand_in_own_bra,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
hand_in_own_panties,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
hand_in_underwear,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
panties_cat's_cradle,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
aqua_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
between_breasts,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
black_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
blonde_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
blue_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
brown_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
landing_strip_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
multicolored_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
non-pubic_inmon,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
penis_envy,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pink_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pubic_feathers,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
purple_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
red_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
veiny_crotch,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
white_pubic_hair,GENERAL_ONLY|BODY_PART|ANATOMY,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
bikini_armor,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
cover_bikini_girl_(gta_vi)_(cosplay),GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
maid_one-piece_swimsuit,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
male_playboy_bunny,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
nontraditional_playboy_bunny,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
playboy_bunny,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
playboy_bunny_swimsuit,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
playboy_bunny_vest,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
tactical_playboy_bunny,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
tailcoat_playboy_bunny,GENERAL_ONLY|CLOTHING/COSTUME|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
fishnet_bra,GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
fishnet_panties,GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
latex_bra,GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
latex_panties,GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
see-through_panties,GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
see-through_sports_bra,GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
see-through_underwear,GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
thong_panties,GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
cooperative_pussyjob,OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
gangbang,OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
male_spitroast,OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
oral_sandwich,OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
orgy,OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
reverse_spitroast,OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
spitroast,OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
teamwork_(sexual),OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
between_labia,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
dark_labia,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
glans,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
hymen,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
long_labia,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
precum_pool,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
shibari_marks,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
squirting_liquid,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
surprise_deepthroat,OVERLAP|BODY_PART|(none)|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
fart,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pee,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pee_puddle,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
pee_stain,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
poop,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
precum,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
precum_drip,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
precum_string,OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TEN_CLUSTER_V92,,
