identity_key,candidate_cluster,candidate_state,human_intent,review_note
bath_of_blood,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
blood_sucking,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
drinking_blood,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
licking_blood,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
spitting_blood,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
wiping_blood,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
adjusting_leotard,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
adjusting_swimsuit,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
hand_in_bikini,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
hand_under_swimsuit,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
holding_collar,GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
holding_jump_rope,GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
holding_rope,GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
holding_whip,GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
swinging_on_rope,GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
oiran,GENERAL_ONLY|PERSON_COUNT|ADULT_ROLE_DEVICE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pornstar,GENERAL_ONLY|PERSON_COUNT|ADULT_ROLE_DEVICE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
stripper,GENERAL_ONLY|PERSON_COUNT|ADULT_ROLE_DEVICE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
stripper_pole,GENERAL_ONLY|PERSON_COUNT|ADULT_ROLE_DEVICE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
inseki,OVERLAP|(none)|RELATION_ROLE_CONTEXT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
race_fetishism,OVERLAP|(none)|RELATION_ROLE_CONTEXT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
reverse_trap,OVERLAP|(none)|RELATION_ROLE_CONTEXT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
toddlercon,OVERLAP|(none)|RELATION_ROLE_CONTEXT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
you_gonna_get_raped,OVERLAP|(none)|RELATION_ROLE_CONTEXT|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
penis_measuring,OVERLAP|ACTION_CONTACT|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pussy_sandwich,OVERLAP|ACTION_CONTACT|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
spread_anus,OVERLAP|ACTION_CONTACT|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
spread_pussy,OVERLAP|ACTION_CONTACT|BODY_ATTRIBUTE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
breastfeeding,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
forced_lactation,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
lactation,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
lactation_through_clothes,OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
autocunnilingus,OVERLAP|ACTION_CONTACT|SELF_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
autofellatio,OVERLAP|ACTION_CONTACT|SELF_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
masturbating_while_watching,OVERLAP|ACTION_CONTACT|SELF_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pillow_humping,OVERLAP|ACTION_CONTACT|SELF_ACTION|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
fake_pregnancy,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
implied_male_pregnancy,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
male_pregnancy,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
multiple_pregnancy,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pregnancy_halo,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
pregnancy_mark,OVERLAP|BODY_PART|BODY_STATE|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
armpit_hair_peek,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
midriff,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
midriff_peek,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
navel_cutout,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
navel_peek,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
tanlines,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
thigh_cutout,OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
bandaid_on_pussy,OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
bandaids_on_nipples,OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
mole_on_testicles,OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
nipples_pressed_together,OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
excessive_lactation,OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
implied_lactation,OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
male_lactation,OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
projectile_lactation,OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
areola_piercing,OVERLAP|BODY_PART|IMPLEMENT_OBJECT|ANATOMY,FULL_REVIEW_HIGH_RISK_TWENTYTWO_CLUSTER_V98,,
