identity_key,is_general,is_special,general_canonical,general_status,general_primary_path,general_secondary_paths,general_confidence,special_id,special_tag,generation_family,generation_role,promotion_status,meaning_status,issue104_reviewed,issue104_review_source,issue104_product_fit_decision,issue104_adult_domains,issue104_post_count,sample_stratum,sample_rank,candidate_class,candidate_status,reviewed_class,review_reason,signal_conflict
gift_between_breasts,YES,NO,gift_between_breasts,PROPOSED,ACTION_CONTACT/OBJECT_USE,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,129,ISSUE104_REVIEWED_RISK,0070c13e1b77966838318c6f63b5ea67181ef6a861961d2521ee22c9fca821f6,,,,,
necklace_between_breasts,YES,NO,necklace_between_breasts,PROPOSED,CLOTHING_STATE_EXPOSURE,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,474,ISSUE104_REVIEWED_RISK,01cef12ae1ef89c2f3a082dd7061dbcf90608a4046aeafb1922c63e232f03881,,,,,
hand_shadow_covering_breasts_(meme),YES,NO,hand_shadow_covering_breasts_(meme),PROPOSED,ACTION_CONTACT/INTIMATE,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,REJECT_NONCONTENT_REASON,BREAST_NIPPLE_AREOLA,501,ISSUE104_REVIEWED_RISK,0507f7bb4cb7f1bbdfc898c90c74f30980f57c6ede899e8a1b65408b6f8ebf1a,,,,,
broken_condom,YES,YES,broken_condom,PROPOSED,OBJECT_PROP/DAILY,[],HIGH,3038,broken_condom,IMPLEMENT_OBJECT,implement,APPROVED_STATIC,SOURCE_CLEAR,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,,294,ISSUE104_REVIEWED_RISK,073dad0bbabbcaaac8e14647a9a90dfeedf846491c2e85fab9af56fca01ccfe6,,,,,
can_between_breasts,YES,NO,can_between_breasts,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,225,ISSUE104_REVIEWED_RISK,07c83b2fa226c3a549f57ddb9619da22636309d8a0e38be4b456dc1176f239ad,,,,,
feet_on_another's_face,YES,YES,feet_on_another's_face,PROPOSED,ACTION_CONTACT/INTERACTION,[],HIGH,3048,feet_on_another's_face,DIRECT_COMPOSITE,spatial_relation,APPROVED_STATIC,SOURCE_CLEAR,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,,192,ISSUE104_REVIEWED_RISK,07d249f5ec5f6aed09586bdaf6db941bfa3ded7eef305ef98d271da9bfdd4a65,,,,,
upright_restraints,YES,YES,upright_restraints,PROPOSED,OBJECT_PROP,[],HIGH,3021,upright_restraints,RESTRAINT_ACTION,restraint_action,APPROVED_STATIC,SOURCE_CLEAR,YES,STRICT_CANONICAL_ADULT_PRIORITY,SPECIAL_CANDIDATE,BDSM_RESTRAINT,495,ISSUE104_REVIEWED_RISK,0801c485e03e71e5a381545213aa478a4f41185e6f4d1499c0234272972c1ed7,,,,,
wet_male_underwear,YES,YES,wet_male_underwear,PROPOSED,CLOTHING/EVERYDAY,[],HIGH,3023,wet_male_underwear,CLOTHING_EXPOSURE,visual_state,APPROVED_STATIC,SOURCE_CLEAR,YES,HIGH_FREQUENCY_UNFLAGGED_RESCUE,SPECIAL_CANDIDATE,,377,ISSUE104_REVIEWED_RISK,097fddfb6d33832a4a93d49e6383e146e423887b680809ad989109d473c9b1a9,,,,,
lipstick_mark_on_breast,YES,NO,lipstick_mark_on_breast,PROPOSED,COLOR_APPEARANCE,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,608,ISSUE104_REVIEWED_RISK,0a2013a871d8581a662fd7989859fc55d88390accd48588ce4bfe41d5ea361b7,,,,,
boobs?_wanna_touch_boobs?_(meme),YES,NO,boobs?_wanna_touch_boobs?_(meme),PROPOSED,STYLE_QUALITY_META,[],HIGH,,,,,,,YES,STRICT_CANONICAL_ADULT_PRIORITY,REJECT_NONCONTENT_REASON,BREAST_NIPPLE_AREOLA,84,ISSUE104_REVIEWED_RISK,0b68b90032e0803eb8e1d90952cd52dd66988ea9490fd32892b56bd7e13af95c,,,,,
