identity_key,candidate_state,human_intent,review_note
alcohol_enema,FULL_REVIEW_INTIMATE_ACTION_V31,,
although_she_hurriedly_put_on_clothes_(meme),FULL_REVIEW_INTIMATE_ACTION_V31,,
ass-to-mouth,FULL_REVIEW_INTIMATE_ACTION_V31,,
ass_worship,FULL_REVIEW_INTIMATE_ACTION_V31,,
assisted_exposure,FULL_REVIEW_INTIMATE_ACTION_V31,,
autoarousal,FULL_REVIEW_INTIMATE_ACTION_V31,,
autopenetration,FULL_REVIEW_INTIMATE_ACTION_V31,,
bellyjob,FULL_REVIEW_INTIMATE_ACTION_V31,,
body_exploration,FULL_REVIEW_INTIMATE_ACTION_V31,,
bulge_to_ass,FULL_REVIEW_INTIMATE_ACTION_V31,,
bulge_to_face,FULL_REVIEW_INTIMATE_ACTION_V31,,
casting_couch,FULL_REVIEW_INTIMATE_ACTION_V31,,
cheating_(relationship),FULL_REVIEW_INTIMATE_ACTION_V31,,
cigarette_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
clitoral_injection,FULL_REVIEW_INTIMATE_ACTION_V31,,
cooperative_naizuri,FULL_REVIEW_INTIMATE_ACTION_V31,,
double_cheek_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
dry_humping,FULL_REVIEW_INTIMATE_ACTION_V31,,
egg_implantation,FULL_REVIEW_INTIMATE_ACTION_V31,,
facejob,FULL_REVIEW_INTIMATE_ACTION_V31,,
female_rimming_male,FULL_REVIEW_INTIMATE_ACTION_V31,,
flowjob,FULL_REVIEW_INTIMATE_ACTION_V31,,
forced_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
forced_partners,FULL_REVIEW_INTIMATE_ACTION_V31,,
foreplay,FULL_REVIEW_INTIMATE_ACTION_V31,,
french_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
g-spot_stimulation,FULL_REVIEW_INTIMATE_ACTION_V31,,
grabbing_another's_stomach_bulge,FULL_REVIEW_INTIMATE_ACTION_V31,,
head_between_pecs,FULL_REVIEW_INTIMATE_ACTION_V31,,
holding_hands_is_lewd,FULL_REVIEW_INTIMATE_ACTION_V31,,
hornjob,FULL_REVIEW_INTIMATE_ACTION_V31,,
humping,FULL_REVIEW_INTIMATE_ACTION_V31,,
implied_after_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
implied_bisexual,FULL_REVIEW_INTIMATE_ACTION_V31,,
implied_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
implied_pornography,FULL_REVIEW_INTIMATE_ACTION_V31,,
implied_strap-on,FULL_REVIEW_INTIMATE_ACTION_V31,,
implied_tail_plug,FULL_REVIEW_INTIMATE_ACTION_V31,,
indirect_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
just_the_tip,FULL_REVIEW_INTIMATE_ACTION_V31,,
licking_pectoral,FULL_REVIEW_INTIMATE_ACTION_V31,,
lubrication,FULL_REVIEW_INTIMATE_ACTION_V31,,
mutual_foot_licking,FULL_REVIEW_INTIMATE_ACTION_V31,,
negi_suppository,FULL_REVIEW_INTIMATE_ACTION_V31,,
netorase,FULL_REVIEW_INTIMATE_ACTION_V31,,
object_on_pectorals,FULL_REVIEW_INTIMATE_ACTION_V31,,
oppai_mochi,FULL_REVIEW_INTIMATE_ACTION_V31,,
oppai_oppai,FULL_REVIEW_INTIMATE_ACTION_V31,,
orientation_play,FULL_REVIEW_INTIMATE_ACTION_V31,,
pocky_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
pocky_kissing_viewer,FULL_REVIEW_INTIMATE_ACTION_V31,,
pokephilia,FULL_REVIEW_INTIMATE_ACTION_V31,,
pornography_production,FULL_REVIEW_INTIMATE_ACTION_V31,,
rejected_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
reverse_leg_lock,FULL_REVIEW_INTIMATE_ACTION_V31,,
scattered_paper,FULL_REVIEW_INTIMATE_ACTION_V31,,
self_milking,FULL_REVIEW_INTIMATE_ACTION_V31,,
selfcest_without_self,FULL_REVIEW_INTIMATE_ACTION_V31,,
sexting,FULL_REVIEW_INTIMATE_ACTION_V31,,
simulated_facial,FULL_REVIEW_INTIMATE_ACTION_V31,,
sleevejob,FULL_REVIEW_INTIMATE_ACTION_V31,,
smegma,FULL_REVIEW_INTIMATE_ACTION_V31,,
smelling_ass,FULL_REVIEW_INTIMATE_ACTION_V31,,
spread_ass,FULL_REVIEW_INTIMATE_ACTION_V31,,
spreading_another's_ass,FULL_REVIEW_INTIMATE_ACTION_V31,,
spreading_another's_legs,FULL_REVIEW_INTIMATE_ACTION_V31,,
stealth_flashing,FULL_REVIEW_INTIMATE_ACTION_V31,,
strip_tease,FULL_REVIEW_INTIMATE_ACTION_V31,,
submission_hold,FULL_REVIEW_INTIMATE_ACTION_V31,,
surprise_kiss,FULL_REVIEW_INTIMATE_ACTION_V31,,
swinging_(relationship),FULL_REVIEW_INTIMATE_ACTION_V31,,
tail_in_ass,FULL_REVIEW_INTIMATE_ACTION_V31,,
taped_hands,FULL_REVIEW_INTIMATE_ACTION_V31,,
taped_legs,FULL_REVIEW_INTIMATE_ACTION_V31,,
telekinetic_stimulation,FULL_REVIEW_INTIMATE_ACTION_V31,,
teratophilia,FULL_REVIEW_INTIMATE_ACTION_V31,,
thumb_sucking,FULL_REVIEW_INTIMATE_ACTION_V31,,
tied_ears,FULL_REVIEW_INTIMATE_ACTION_V31,,
wet_dream,FULL_REVIEW_INTIMATE_ACTION_V31,,
yobai,FULL_REVIEW_INTIMATE_ACTION_V31,,
