lexeme,match_count,identity_key,is_general,is_special,sexual_intent,review_status,rule_id,evidence
footjob,25,after_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,cooperative_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,double_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,female_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_from_behind,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_over_clothes,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_through_footwear,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_under_table,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_with_boots,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_with_footwear,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_with_legwear,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_with_sandals,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_with_shoes,YES,YES,,UNCLASSIFIED,,
footjob,25,footjob_with_socks_on,NO,YES,,UNCLASSIFIED,,
footjob,25,footjob_with_thighhighs_on,NO,YES,,UNCLASSIFIED,,
footjob,25,guided_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,implied_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,multiple_footjob,NO,YES,,UNCLASSIFIED,,
footjob,25,reverse_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,simulated_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,standing_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,stealth_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,two-footed_footjob,YES,YES,,UNCLASSIFIED,,
footjob,25,under-stirrup_footjob,YES,YES,,UNCLASSIFIED,,
glansjob,2,cloth_glansjob,YES,YES,,UNCLASSIFIED,,
glansjob,2,glansjob,YES,YES,,UNCLASSIFIED,,
hairjob,1,hairjob,YES,YES,,UNCLASSIFIED,,
backjob,1,backjob,NO,YES,,UNCLASSIFIED,,
pecfuck,1,pecfuck,NO,YES,,UNCLASSIFIED,,
buttsex,1,buttsex,NO,YES,,UNCLASSIFIED,,
frottage,2,after_frottage,NO,YES,,UNCLASSIFIED,,
frottage,2,frottage,YES,YES,,UNCLASSIFIED,,
rape,17,about_to_be_raped,NO,YES,,UNCLASSIFIED,,
rape,17,after_rape,YES,YES,,UNCLASSIFIED,,
rape,17,assisted_rape,YES,YES,,UNCLASSIFIED,,
rape,17,attempted_rape,NO,YES,,UNCLASSIFIED,,
rape,17,broken_rape_victim,NO,YES,,UNCLASSIFIED,,
rape,17,femdom_rape,NO,YES,,UNCLASSIFIED,,
rape,17,gang_rape,NO,YES,,UNCLASSIFIED,,
rape,17,imminent_rape,YES,YES,,UNCLASSIFIED,,
rape,17,implied_rape,YES,YES,,UNCLASSIFIED,,
rape,17,mutual_rape,NO,YES,,UNCLASSIFIED,,
rape,17,rape,YES,YES,,UNCLASSIFIED,,
rape,17,rape_eyes,NO,YES,,UNCLASSIFIED,,
rape,17,rape_face,YES,YES,,UNCLASSIFIED,,
rape,17,rape_play,NO,YES,,UNCLASSIFIED,,
rape,17,tail_rape,YES,YES,,UNCLASSIFIED,,
rape,17,tentacle_rape,NO,YES,,UNCLASSIFIED,,
rape,17,you_gonna_get_raped,YES,YES,,UNCLASSIFIED,,
