identity_key,candidate_cluster,candidate_state,human_intent,review_note
black_bodystocking,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
black_bustier,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
blue_bustier,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
brown_bodystocking,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
brown_bustier,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
frilled_bustier,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
purple_bodystocking,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
red_bustier,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
sleeveless_bodystocking,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
thighband_bodystocking,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
white_bodystocking,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
white_bustier,GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
after-school_sweets_club_(blue_archive),GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
bisexual_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
blacked_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
cowgirl_(western),GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
dark-skinned_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
giant_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
male_harem,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
male_yandere,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
mature_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
multiple_reverse_traps,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
other_with_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
short_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
tall_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
taller_female_shorter_male,GENERAL_ONLY|PERSON_COUNT|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
double_vaginal,OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
fisting,OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
food_insertion,OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
intravaginal_futanari,OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
male_penetrated,OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
mouth_insertion,OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
multiple_insertions,OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
object_insertion,OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|NONE,FULL_REVIEW_MIXED_SEVEN_CLUSTER_V61,,
