identity_key,general_path,state
colored_condom,OBJECT_PROP,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
ass_mousepad,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
black_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
blue_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
clothes-dissolving_potion,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
condom_box,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
condom_packet_strip,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
condom_wrapper,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
green_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
jump_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
orange_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
pink_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
purple_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
red_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
rope_ladder,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
shelf_bra,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
speculum,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
white_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
yellow_rope,OBJECT_PROP/DAILY,OBJECT_PROP_BOUNDARY_UNCLASSIFIED_V26
