identity_key,candidate_state,human_intent,review_note
ass_press,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
asymmetrical_docking,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
autopaizuri,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
biting_ass,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
biting_foreskin,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
bust_cup,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
clitoral_stimulation,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
cloth_glansjob,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
deepthroat,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
defloration,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
foot_worship,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
foreskin_pull,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
frottage,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
glansjob,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
grabbing_another's_ass,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
grabbing_another's_thighs,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
grabbing_own_ass,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
guided_pectoral_grab,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
hairjob,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
hand_on_own_ass,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
hand_under_clothes,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
hands_on_own_ass,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
hug_and_suck,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
legjob,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
licking_armpit,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
licking_ass,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
licking_foot,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
licking_leg,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
licking_thigh,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
naizuri,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
oral,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
pecjob,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
pectoral_docking,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
pectoral_grab,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
pussyjob,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
reach-around,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
rusty_trombone,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
smelling,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
smelling_clothes,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
smelling_feet,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
spreading_own_ass,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
symmetrical_docking,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
tribadism,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
unbirthing,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
vore,FULL_REVIEW_OVERLAP_ACTION_INTERACTION_NONE_V45,,
