identity_key,candidate_cluster,candidate_state,human_intent,review_note
arms_bound_above_head,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
assisted_object_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
ball_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
bound_leg,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
bound_thumbs,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
bound_wings,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
cable_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
dilation_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
double_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
foreskin_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
hogtie_carry,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
imminent_pegging,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
masturbating_together,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
masturbating_while_penetrated,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
multiple_vaginal,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
mummification_(bound),OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
navel_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
object_insertion_from_behind,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
penetrating_while_penetrated,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
poke_ball_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
shared_object_insertion,OVERLAP|ACTION_CONTACT|(none)|NONE,FULL_REVIEW_OVERLAP_ACTION_THREE_CLUSTER_V55,,
