identity_key,candidate_state,human_intent,review_note
breasts,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
clitoris,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
clitoris_slip,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
colored_anus,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
colored_nipples,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
colored_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
colored_pubic_hair,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
colored_pussy,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
dark_nipples,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
deformed_anus,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
disembodied_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
female_pubic_hair,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
futa_without_pussy,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
gigantic_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
gigantic_testicles,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
girthy_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
half-spread_pussy,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
huge_clitoris,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
huge_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
huge_testicles,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
inverted_nipples,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
invisible_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
knotted_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
large_areolae,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
large_clitoris,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
large_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
large_testicles,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
male_pubic_hair,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
nipple_indents,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
nipples,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
no_anus,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
no_nipples,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
no_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
no_pussy,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
no_testicles,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
penis_piercing,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
penis_shadow,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
penis_size_difference,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
penis_tattoo,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
pubic_stubble,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
pubic_tattoo,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
puffy_nipples,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
pussy,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
pussy_piercing,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
sagging_testicles,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
single_inverted_nipple,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
small_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
sparse_pubic_hair,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
testicle_tattoo,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
testicles,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
twitching_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
veiny_penis,FULL_REVIEW_OVERLAP_BODY_ATTRIBUTE_ANATOMY_V41,,
