identity_key,candidate_state,human_intent,review_note
bottomless,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
bra_lift,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
bra_peek,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
bra_pull,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
bra_slip,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
bra_visible_through_clothes,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
clothed_female_nude_female,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
clothed_female_nude_male,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
clothed_male_nude_female,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
clothed_male_nude_male,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
completely_nude,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
covered_underboob,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
crotchless,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
crotchless_bloomers,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
crotchless_panties,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
crotchless_pants,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
crotchless_pantyhose,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
cupless_bra,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
erection_in_panties,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
male_underwear_peek,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
male_underwear_pull,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_apron,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_bandage,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_belt,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_cape,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_capelet,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_cardigan,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_chocolate,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_cloak,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_coat,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_dogeza,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_dress,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_hoodie,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_jacket,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_kimono,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_lab_coat,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_necktie,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_overalls,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_paint,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_ribbon,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_robe,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_scarf,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_school_attendance,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_sheet,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
naked_shirt,FULL_REVIEW_OVERLAP_CLOTHING_EXPOSURE_INTIMATE_V40,,
