identity_key,candidate_state,human_intent,review_note
arms_bound_apart,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
asphyxiation,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
ball_busting,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_ankles,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_arms,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_calves,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_feet,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_fingers,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_knees,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_legs,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_puppy_pose,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_tail,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_toes,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_together,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_torso,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
bound_wrists,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
box_tie,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
cbt,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
cbt_press,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
cervix_punching,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
cunt_busting,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
denki_anma,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
hogtie,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
neglect_play,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
reverse_ryona,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
ryona,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
shibari,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
smother,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
spanked,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
stepped_on,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
strangling,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
strappado,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
tickle_torture,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
torture,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
wax_play,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
whipping,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
wrists_bound_apart,FULL_REVIEW_OVERLAP_RESTRAINT_ACTION_V50,,
