identity_key,state,risk_flags
get_over_it._(project_sekai),PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:get
good_ass_day,PATHLESS_BOUNDARY_UNCLASSIFIED_V23,intimate_body_or_exposure+learned_risk:ass
if_they_mated,PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:they
insertion_threshold_(meme),PATHLESS_BOUNDARY_UNCLASSIFIED_V23,sexual_fluid_or_act+learned_risk:insertion
job_application_form_(meme),PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:job
play_of_the_game,PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:play
room_you_can't_get_out_of_unless_you_x_(meme),PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:get
sexually_suggestive,PATHLESS_BOUNDARY_UNCLASSIFIED_V23,sexual_or_fetish_phrase
string_play_spider_baby_(meme),PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:play
the_fun_gang,PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:gang
tingtang_gang_(identity)_(project_moon),PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:gang
uncommon_stimulation,PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:stimulation
you_can_just_give_this_kind_of_thing_to_men_and_they_will_be_thrilled_(meme),PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:they
you_gonna_get_eaten,PATHLESS_BOUNDARY_UNCLASSIFIED_V23,learned_risk:get
