identity_key,state,structural_flags
2011,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,pure_year
2011_tohoku_earthquake_and_tsunami,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,dated_public_event
2024_attempted_assassination_of_donald_trump,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,dated_public_event
2024_niconico_cyberattack,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,dated_public_event
2nd_live_tour_~blooming_with_ooo~,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,live_or_tour
3rd_live_tour_try_tri_unity!!!,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,live_or_tour
416_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
5th_live_tour_~4pair_power_spread!!!!~,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,live_or_tour
arena_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
bloom_festival_(project_sekai),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,festival_or_fair
bunny_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
c.c._day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
canon_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
christian_louboutin_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
colorful_festival_(project_sekai),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,festival_or_fair
dash_store_touhou_collaboration,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,collaboration
digimon_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
dodge_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
dragon_boat_festival,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,festival_or_fair
dyson_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
father's_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
flandre_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
fundoshi_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
gardevoir_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
