identity_key,boundary_flags,candidate_state
\o/,,CLEAN_FOR_FRESH_HOLDOUT
a-pose,,CLEAN_FOR_FRESH_HOLDOUT
accurate_ballet,,CLEAN_FOR_FRESH_HOLDOUT
acrobatics,,CLEAN_FOR_FRESH_HOLDOUT
aerobics,,CLEAN_FOR_FRESH_HOLDOUT
afloat,,CLEAN_FOR_FRESH_HOLDOUT
against_bed,,CLEAN_FOR_FRESH_HOLDOUT
against_bookshelf,,CLEAN_FOR_FRESH_HOLDOUT
against_chair,,CLEAN_FOR_FRESH_HOLDOUT
against_chalkboard,,CLEAN_FOR_FRESH_HOLDOUT
against_desk,,CLEAN_FOR_FRESH_HOLDOUT
against_door,,CLEAN_FOR_FRESH_HOLDOUT
against_fence,,CLEAN_FOR_FRESH_HOLDOUT
against_glass,,CLEAN_FOR_FRESH_HOLDOUT
against_locker,,CLEAN_FOR_FRESH_HOLDOUT
against_mirror,,CLEAN_FOR_FRESH_HOLDOUT
against_object,,CLEAN_FOR_FRESH_HOLDOUT
against_pillar,,CLEAN_FOR_FRESH_HOLDOUT
against_railing,,CLEAN_FOR_FRESH_HOLDOUT
against_rock,,CLEAN_FOR_FRESH_HOLDOUT
against_table,,CLEAN_FOR_FRESH_HOLDOUT
against_tree,,CLEAN_FOR_FRESH_HOLDOUT
against_vehicle,,CLEAN_FOR_FRESH_HOLDOUT
against_wall,,CLEAN_FOR_FRESH_HOLDOUT
against_window,,CLEAN_FOR_FRESH_HOLDOUT
against_windowsill,,CLEAN_FOR_FRESH_HOLDOUT
airplane_arms,,CLEAN_FOR_FRESH_HOLDOUT
akiman_pose,,CLEAN_FOR_FRESH_HOLDOUT
alexander_anderson's_pose,,CLEAN_FOR_FRESH_HOLDOUT
amen_pose_(meme),,CLEAN_FOR_FRESH_HOLDOUT
arabesque_(pose),,CLEAN_FOR_FRESH_HOLDOUT
arched_back,,CLEAN_FOR_FRESH_HOLDOUT
aris_dance_(meme),,CLEAN_FOR_FRESH_HOLDOUT
arm_above_head,,CLEAN_FOR_FRESH_HOLDOUT
arm_across_chest,,CLEAN_FOR_FRESH_HOLDOUT
arm_across_neck,,CLEAN_FOR_FRESH_HOLDOUT
arm_across_waist,,CLEAN_FOR_FRESH_HOLDOUT
arm_at_side,,CLEAN_FOR_FRESH_HOLDOUT
arm_behind_back,,CLEAN_FOR_FRESH_HOLDOUT
arm_behind_head,,CLEAN_FOR_FRESH_HOLDOUT
arm_behind_leg,,CLEAN_FOR_FRESH_HOLDOUT
arm_held_back,,CLEAN_FOR_FRESH_HOLDOUT
arm_on_knee,,CLEAN_FOR_FRESH_HOLDOUT
arm_on_own_head,,CLEAN_FOR_FRESH_HOLDOUT
arm_on_own_leg,,CLEAN_FOR_FRESH_HOLDOUT
arm_on_table,,CLEAN_FOR_FRESH_HOLDOUT
arm_on_thigh,,CLEAN_FOR_FRESH_HOLDOUT
arm_over_shoulder,,CLEAN_FOR_FRESH_HOLDOUT
arm_support,,CLEAN_FOR_FRESH_HOLDOUT
arm_up,,CLEAN_FOR_FRESH_HOLDOUT
arms_across_body,,CLEAN_FOR_FRESH_HOLDOUT
arms_around_self,,CLEAN_FOR_FRESH_HOLDOUT
arms_at_sides,,CLEAN_FOR_FRESH_HOLDOUT
arms_behind_back,,CLEAN_FOR_FRESH_HOLDOUT
arms_behind_head,,CLEAN_FOR_FRESH_HOLDOUT
arms_between_legs,,CLEAN_FOR_FRESH_HOLDOUT
arms_on_head,,CLEAN_FOR_FRESH_HOLDOUT
arms_on_knees,,CLEAN_FOR_FRESH_HOLDOUT
arms_on_table,,CLEAN_FOR_FRESH_HOLDOUT
arms_up,,CLEAN_FOR_FRESH_HOLDOUT
ass_rest,,CLEAN_FOR_FRESH_HOLDOUT
asymmetrical_pigeon-toed,,CLEAN_FOR_FRESH_HOLDOUT
