cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples
GENERAL_ONLY|(none)|NONE,2237,GENERAL_ONLY,(none),(none),(none),NONE,12_billion_yen_incident;15-nin_no_richiteki_na_megane-tachi;2024_pokemon_teraleak;2_fuel_4_ammo_11_steel;4th_live_dream_~bloom_the_dream_believers~;6th_live_dream_~bloom_garden_party~;9/11;affliction_(darkest_dungeon);after_time_valentine_2026;akatsuhara_empire;akg;alternate_element
GENERAL_ONLY|CLOTHING|SEXUALIZED_CLOTHING,4,GENERAL_ONLY,CLOTHING,CLOTHING,(none),SEXUALIZED_CLOTHING,vertical-striped_bikini;vertical-striped_bodysuit;vertical-striped_leotard;vertical-striped_one-piece_swimsuit
GENERAL_ONLY|(none)|INJURY,3,GENERAL_ONLY,(none),(none),(none),INJURY,iron_blood_(emblem);nightmare_blood_(idolmaster);tears_of_the_tarnished_blood_(e.g.o)
GENERAL_ONLY|BODY_PART|NONE,2,GENERAL_ONLY,BODY_PART,BODY_PART,(none),NONE,knee_boobs;powerful_ass
GENERAL_ONLY|CLOTHING/ACCESSORY|RESTRAINT_FETISH,2,GENERAL_ONLY,CLOTHING/ACCESSORY,CLOTHING,(none),RESTRAINT_FETISH,rope_belt;rope_necklace
GENERAL_ONLY|CLOTHING/COSTUME|EXPOSURE_INTIMATE,2,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),EXPOSURE_INTIMATE,claw_bra;sailor_moon_narikiri_bra_set
GENERAL_ONLY|CLOTHING/EVERYDAY|RELATIONSHIP_ROLE,2,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),RELATIONSHIP_ROLE,backwards_virgin_killer_sweater;evolved_virgin_killer_sweater
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ADULT_ROLE_DEVICE,2,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),ADULT_ROLE_DEVICE,bodystocking_only;torn_bodystocking
OVERLAP|(none)|(none)|ANATOMY,2,OVERLAP,(none),(none),(none),ANATOMY,game_controller_nipples_(meme);nipple_guessing_game_(meme)
OVERLAP|(none)|MULTI_ACTOR_INTERACTION|NONE,2,OVERLAP,(none),(none),MULTI_ACTOR_INTERACTION,NONE,love_train;shimaidon
OVERLAP|(none)|NONHUMAN_INTERACTION|NONE,2,OVERLAP,(none),(none),NONHUMAN_INTERACTION,NONE,kankaku_shadan;mindflayer
OVERLAP|ACTION_CONTACT|(none)|EXPOSURE_INTIMATE,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),EXPOSURE_INTIMATE,cleavage_cutout_tug;spread_cleavage
OVERLAP|ACTION_CONTACT|(none)|REPRO,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),REPRO,mutual_impregnation;requesting_impregnation
OVERLAP|ACTION_CONTACT|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,CLOTHING_EXPOSURE,EXPOSURE_INTIMATE,nude_modeling;rear_naked_choke
OVERLAP|ACTION_CONTACT|CLOTHING_EXPOSURE|RESTRAINT_FETISH,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,CLOTHING_EXPOSURE,RESTRAINT_FETISH,collar_grab;collar_tug
OVERLAP|ACTION_CONTACT|DAMAGE_STATE_ACTION|NONE,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,DAMAGE_STATE_ACTION,NONE,decapitation;necrophilia
OVERLAP|ACTION_CONTACT|IMPLEMENT_OBJECT|ADULT_ROLE_DEVICE+ANATOMY,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,IMPLEMENT_OBJECT,ADULT_ROLE_DEVICE+ANATOMY,condom_on_nipples;condom_on_penis
OVERLAP|ACTION_CONTACT|IMPLEMENT_OBJECT|ANATOMY,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,IMPLEMENT_OBJECT,ANATOMY,anal_beads;anal_tail
OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|EXPLICIT_SEX,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,INSERTION_STRUCTURED,EXPLICIT_SEX,fingering;urethral_fingering
OVERLAP|ACTION_CONTACT|MACHINE_STRUCTURED|NONE,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,MACHINE_STRUCTURED,NONE,milking_machine;riding_machine
OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|EXPLICIT_SEX,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,MULTI_ACTOR_INTERACTION,EXPLICIT_SEX,cooperative_footjob;mutual_fingering
