cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples,triage_bucket,triage_reason,next_gate
GENERAL_ONLY|CLOTHING/EVERYDAY|NONE,3300,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),NONE,a-line_dress;adidas;air_jordan;air_jordan_1;air_max;alternate_bottom_wear;alternate_footwear;alternate_legwear;alternate_skirt_length;alternate_sleeve_length;american_flag_bikini;american_flag_dress,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|(none)|NONE,2338,GENERAL_ONLY,(none),(none),(none),NONE,12_billion_yen_incident;15-nin_no_richiteki_na_megane-tachi;2011;2011_tohoku_earthquake_and_tsunami;2024_attempted_assassination_of_donald_trump;2024_niconico_cyberattack;2024_pokemon_teraleak;2_fuel_4_ammo_11_steel;2nd_live_tour_~blooming_with_ooo~;3rd_live_tour_try_tri_unity!!!;416_day;4th_live_dream_~bloom_the_dream_believers~,BOUNDARY_REVIEW,no_accepted_general_path,resolve semantic cluster first; do not infer intent from missing taxonomy
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|NONE,1856,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),NONE,2d_dating;\m/;\n/;abduction;abhaya_mudra;absorbing;abuse;accident;accidental_kiss;accidental_pervert;accidental_touch;adjusting_another's_clothes,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|BODY_PART|NONE,1706,GENERAL_ONLY,BODY_PART,BODY_PART,(none),NONE,abdomen_tail;abs;absurdly_long_tail;abyssal_ship_transformation;accessory_tan;achilles_tendon;adam's_apple;age_comparison;age_progression;age_regression;age_switch;aged_down,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|STYLE_QUALITY_META|NONE,950,GENERAL_ONLY,STYLE_QUALITY_META,STYLE_QUALITY_META,(none),NONE,100kg_(meme);114514_(meme);1930s_(style);1950s_(style);1960s_(style);1970s_(style);1980s_(style);1990s_(style);1koma;2000s_(style);2koma;3d,BULK_CANDIDATE,ordinary_general_root_no_risk_signal,"run full adversarial scan, independent fixed review artifact, then fresh holdout before any promotion"
GENERAL_ONLY|POSE_MOVEMENT|NONE,727,GENERAL_ONLY,POSE_MOVEMENT,POSE_MOVEMENT,(none),NONE,\o/;a-pose;accurate_ballet;acrobatics;aerobics;afloat;against_bed;against_bookshelf;against_chair;against_chalkboard;against_desk;against_door,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,718,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),NONE,abs_peek;accidental_exposure;apron_aside;apron_lift;arm_out_of_sleeve;assless_skirt;back_peek;back_slit;backless_bikini_bottom;backless_bodysuit;backless_dress;backless_kimono,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
SPECIAL_ONLY|(none)|(none)|NONE,580,SPECIAL_ONLY,(none),(none),(none),NONE,18+;3p;about_to_be_raped;adult_content;adult_only;adult_toy;adult_toys;adultbaby;after_frottage;after_oral;after_urethral;aftersex,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|COLOR_APPEARANCE|NONE,494,GENERAL_ONLY,COLOR_APPEARANCE,COLOR_APPEARANCE,(none),NONE,abbreviated_karakusa;alien_print;alternate_color;alternate_print;american_flag_print;analogous_colors;anchor_print;ankh_print;apple_print;aqua_border;aqua_outline;aqua_theme,BULK_CANDIDATE,ordinary_general_root_no_risk_signal,"run full adversarial scan, independent fixed review artifact, then fresh holdout before any promotion"
GENERAL_ONLY|EXPRESSION_EMOTION|NONE,358,GENERAL_ONLY,EXPRESSION_EMOTION,EXPRESSION_EMOTION,(none),NONE,+_+;+_-;._.;0_0;0w0;3:;3;;3_3;6_9;:/;:3;:<,BULK_CANDIDATE,ordinary_general_root_no_risk_signal,"run full adversarial scan, independent fixed review artifact, then fresh holdout before any promotion"
