identity_key,is_general,is_special,general_primary_path,special_id,generation_family,issue104_reviewed,issue104_product_fit_decision,issue104_adult_domains,sample_stratum
gift_between_breasts,YES,NO,ACTION_CONTACT/OBJECT_USE,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
necklace_between_breasts,YES,NO,CLOTHING_STATE_EXPOSURE,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
hand_shadow_covering_breasts_(meme),YES,NO,ACTION_CONTACT/INTIMATE,,,YES,REJECT_NONCONTENT_REASON,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
broken_condom,YES,YES,OBJECT_PROP/DAILY,3038,IMPLEMENT_OBJECT,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
can_between_breasts,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
feet_on_another's_face,YES,YES,ACTION_CONTACT/INTERACTION,3048,DIRECT_COMPOSITE,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
upright_restraints,YES,YES,OBJECT_PROP,3021,RESTRAINT_ACTION,YES,SPECIAL_CANDIDATE,BDSM_RESTRAINT,ISSUE104_REVIEWED_RISK
wet_male_underwear,YES,YES,CLOTHING/EVERYDAY,3023,CLOTHING_EXPOSURE,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
lipstick_mark_on_breast,YES,NO,COLOR_APPEARANCE,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
boobs?_wanna_touch_boobs?_(meme),YES,NO,STYLE_QUALITY_META,,,YES,REJECT_NONCONTENT_REASON,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
bandaid_on_breast,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
saliva_on_breasts,YES,YES,BODY_PART,3033,FLUID_STATE_ACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,ISSUE104_REVIEWED_RISK
breast_envy,YES,NO,EXPRESSION_EMOTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
cheek-to-breast,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
face_to_breasts,YES,YES,ACTION_CONTACT/INTERACTION,2992,DIRECT_COMPOSITE,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
black_leash,YES,NO,OBJECT_PROP/DAILY,,,YES,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,ISSUE104_REVIEWED_RISK
breast_pillow,YES,YES,ACTION_CONTACT/INTERACTION,3014,ACTION_INTERACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
breast_on_breast,YES,YES,ACTION_CONTACT/INTIMATE,3040,ACTION_INTERACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
breasts_in_a_box,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
poking_another's_breast,YES,YES,ACTION_CONTACT/INTERACTION,3010,ACTION_INTERACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
fluid_on_breasts,YES,YES,BODY_PART,3083,FLUID_STATE_ACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
extreme_gaping,YES,YES,BODY_PART,3028,BODY_STATE,YES,SPECIAL_CANDIDATE,ANAL_RECTAL,ISSUE104_REVIEWED_RISK
handcuff_dangle,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BDSM_RESTRAINT,ISSUE104_REVIEWED_RISK
bullet_wound,YES,NO,BODY_PART,,,YES,GENERAL_ONLY_APPROPRIATE,R18G_INJURY,ISSUE104_REVIEWED_RISK
condom_pull,YES,YES,ACTION_CONTACT/INTIMATE,3052,ACTION_INTERACTION,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
slapping_with_breasts,YES,YES,ACTION_CONTACT/INTIMATE,3074,ACTION_INTERACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
oppai_challenge,YES,NO,ACTION_CONTACT/INTERACTION,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,ISSUE104_REVIEWED_RISK
ribbon_between_breasts,YES,NO,CLOTHING/ACCESSORY,,,YES,GENERAL_ONLY_APPROPRIATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
asymmetrical_breasts,YES,YES,BODY_PART,3024,BODY_ATTRIBUTE,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
drinking_from_condom,YES,YES,ACTION_CONTACT/INTERACTION,3057,ACTION_INTERACTION,YES,SPECIAL_CANDIDATE,,ISSUE104_REVIEWED_RISK
servants_holding_aphrodite's_breasts_(meme),YES,NO,,,,YES,REJECT_NONCONTENT_REASON,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
breasts_on_thighs,YES,YES,ACTION_CONTACT/INTERACTION,3079,DIRECT_COMPOSITE,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
breast_crush,YES,YES,ACTION_CONTACT/INTIMATE,3085,DAMAGE_STATE_ACTION,YES,SPECIAL_CANDIDATE,BREAST_NIPPLE_AREOLA,ISSUE104_REVIEWED_RISK
shared_handcuffs,YES,YES,OBJECT_PROP/DAILY,3044,RESTRAINT_IMPLEMENT,YES,SPECIAL_CANDIDATE,BDSM_RESTRAINT,ISSUE104_REVIEWED_RISK
