identity_key,reviewed_class,review_status,review_reason
trailblazer's_hat_(honkai:_star_rail),NON_SEXUAL,REVIEWED,character accessory concept; not inherently sexual
dog_slippers,NON_SEXUAL,REVIEWED,ordinary footwear/accessory concept
outer_ring_excavations_(eve_online),NON_SEXUAL,REVIEWED,named game concept; no inherent sexual intent
offering_hand,NON_SEXUAL,REVIEWED,general hand-offering/outstretched-hand gesture; not inherently sexual
single_elbow_pad,NON_SEXUAL,REVIEWED,ordinary protective accessory
united_states_medal_of_honor,NON_SEXUAL,REVIEWED,medal/decoration concept
spade_brooch,NON_SEXUAL,REVIEWED,ordinary jewelry/accessory concept
jack-o'-lantern_hat_ornament,NON_SEXUAL,REVIEWED,ordinary decorative accessory
cute_x_subculture_hatsune_miku_design_contest,NON_SEXUAL,REVIEWED,design-contest/meta concept; not sexual
ten_no_hate_no_phoenix_e_(project_sekai),NON_SEXUAL,REVIEWED,named game accessory/content concept; not inherently sexual
jellyfish_hair_ornament,NON_SEXUAL,REVIEWED,ordinary hair accessory
mismatched_animal_ear_colors,NON_SEXUAL,REVIEWED,appearance/accessory attribute; not sexual
inugami_korone_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity concept; cosplay alone is not sexual intent
jeanne_d'arc_alter_santa_lily_(fate)_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity concept; not inherently sexual
fubuki_(kancolle)_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity concept; not inherently sexual
queen_of_hearts_(alice_in_wonderland)_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity concept; not inherently sexual
hoshino_(blue_archive)_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity concept; not inherently sexual
hime_lolita,NON_SEXUAL,REVIEWED,fashion style concept; not inherently sexual
reisen_udongein_inaba_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity concept; not inherently sexual
little_red_riding_hood_(fairy_tale_character)_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity concept; not inherently sexual
saber_alter_(swimsuit_rider)_(second_ascension)_(cosplay),NON_SEXUAL,REVIEWED,cosplay of a swimsuit character variant; clothing exposure alone is not sexual intent
justice_task_force_member_(blue_archive)_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity concept; not inherently sexual
jeanne_d'arc_alter_(swimsuit_berserker)_(fate)_(cosplay),NON_SEXUAL,REVIEWED,cosplay of a swimsuit character variant; not inherently sexual
florence_nightingale_(trick_or_treatment)_(fate)_(cosplay),NON_SEXUAL,REVIEWED,cosplay identity/costume concept; not inherently sexual
cauldron,NON_SEXUAL,REVIEWED,ordinary/fantasy prop concept
railroad_crossing,NON_SEXUAL,REVIEWED,infrastructure/location prop concept
queen_of_spades_(playing_card),NON_SEXUAL,REVIEWED,playing-card concept
statue_of_her_excellency_(genshin_impact),NON_SEXUAL,REVIEWED,named statue/game prop concept
dr._ratio's_book_(honkai:_star_rail),NON_SEXUAL,REVIEWED,named book/game prop concept
queen_of_hearts_(playing_card),NON_SEXUAL,REVIEWED,playing-card concept
magpul,NON_SEXUAL,REVIEWED,firearm-equipment brand/prop concept; not sexual intent
door_chain,NON_SEXUAL,REVIEWED,ordinary door hardware concept
aperture_science_handheld_portal_device,NON_SEXUAL,REVIEWED,fictional device/prop concept
toy_soldier,NON_SEXUAL,REVIEWED,toy/figure concept
paw_stick,NON_SEXUAL,REVIEWED,paw-shaped stick/weapon prop used by characters; not sexual intent
playground_equipment_(kemono_friends_pavilion),NON_SEXUAL,REVIEWED,named playground/game prop concept
