identity_key,general_path,general_status,general_confidence,token_count,candidate_rows_in_path,sample_lane,candidate_class,phase,reviewed_class,review_note
trailblazer's_hat_(honkai:_star_rail),CLOTHING/ACCESSORY,PROPOSED,HIGH,5,1920,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
dog_slippers,CLOTHING/ACCESSORY,PROPOSED,HIGH,2,1920,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
outer_ring_excavations_(eve_online),CLOTHING/ACCESSORY,PROPOSED,HIGH,5,1920,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
offering_hand,CLOTHING/ACCESSORY,PROPOSED,HIGH,2,1920,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
single_elbow_pad,CLOTHING/ACCESSORY,PROPOSED,HIGH,3,1920,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
united_states_medal_of_honor,CLOTHING/ACCESSORY,PROPOSED,MEDIUM,5,1920,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
spade_brooch,CLOTHING/ACCESSORY,PROPOSED,HIGH,2,1920,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
jack-o'-lantern_hat_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,5,1920,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
cute_x_subculture_hatsune_miku_design_contest,CLOTHING/ACCESSORY,PROPOSED,HIGH,7,1920,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
ten_no_hate_no_phoenix_e_(project_sekai),CLOTHING/ACCESSORY,PROPOSED,HIGH,7,1920,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
jellyfish_hair_ornament,CLOTHING/ACCESSORY,PROPOSED,HIGH,3,1920,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
mismatched_animal_ear_colors,CLOTHING/ACCESSORY,PROPOSED,HIGH,4,1920,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
inugami_korone_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,3,1219,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
jeanne_d'arc_alter_santa_lily_(fate)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,7,1219,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
fubuki_(kancolle)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,3,1219,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
queen_of_hearts_(alice_in_wonderland)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,7,1219,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
hoshino_(blue_archive)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,4,1219,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
hime_lolita,CLOTHING/COSTUME,PROPOSED,MEDIUM,2,1219,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
reisen_udongein_inaba_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,4,1219,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
little_red_riding_hood_(fairy_tale_character)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,8,1219,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
saber_alter_(swimsuit_rider)_(second_ascension)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,7,1219,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
justice_task_force_member_(blue_archive)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,7,1219,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
jeanne_d'arc_alter_(swimsuit_berserker)_(fate)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,7,1219,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
florence_nightingale_(trick_or_treatment)_(fate)_(cosplay),CLOTHING/COSTUME,PROPOSED,HIGH,7,1219,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
cauldron,OBJECT_PROP/DAILY,PROPOSED,HIGH,1,2706,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
railroad_crossing,OBJECT_PROP/DAILY,PROPOSED,HIGH,2,2706,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
queen_of_spades_(playing_card),OBJECT_PROP/DAILY,PROPOSED,MEDIUM,5,2706,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
statue_of_her_excellency_(genshin_impact),OBJECT_PROP/DAILY,PROPOSED,HIGH,6,2706,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
dr._ratio's_book_(honkai:_star_rail),OBJECT_PROP/DAILY,PROPOSED,MEDIUM,6,2706,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
queen_of_hearts_(playing_card),OBJECT_PROP/DAILY,PROPOSED,MEDIUM,5,2706,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
magpul,OBJECT_PROP/DAILY,PROPOSED,HIGH,1,2706,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
door_chain,OBJECT_PROP/DAILY,PROPOSED,HIGH,2,2706,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
aperture_science_handheld_portal_device,OBJECT_PROP/DAILY,PROPOSED,MEDIUM,5,2706,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
toy_soldier,OBJECT_PROP/DAILY,PROPOSED,HIGH,2,2706,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
paw_stick,OBJECT_PROP/DAILY,PROPOSED,HIGH,2,2706,HASH_RANDOM,NON_SEXUAL,DISCOVERY_WAVE3,,
playground_equipment_(kemono_friends_pavilion),OBJECT_PROP/DAILY,PROPOSED,HIGH,5,2706,COMPOUND_CHALLENGE,NON_SEXUAL,DISCOVERY_WAVE3,,
