identity_key,general_path,confidence,risk_tokens,candidate_class
#unicus_(idolmaster),PERSON_COUNT,MEDIUM,,NON_SEXUAL
.52_gal_(splatoon),OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
.96_gal_(splatoon),OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
0th_generation_(hololive),PERSON_COUNT,MEDIUM,,NON_SEXUAL
1-up_mushroom,OBJECT_PROP,MEDIUM,,NON_SEXUAL
10mm_pistol,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
1920s_fashion,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
1950s_fashion,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
1960s_fashion,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
1970s_fashion,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
1980s_fashion,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
1990s_fashion,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
1boy,PERSON_COUNT,HIGH,,NON_SEXUAL
1girl,PERSON_COUNT,HIGH,,NON_SEXUAL
1other,PERSON_COUNT,HIGH,,NON_SEXUAL
1st_generation_(hololive),PERSON_COUNT,MEDIUM,,NON_SEXUAL
1up,OBJECT_PROP,MEDIUM,,NON_SEXUAL
25-ji_nightcord_de._(project_sekai),PERSON_COUNT,MEDIUM,,NON_SEXUAL
2b_(nier:automata)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
2boys,PERSON_COUNT,HIGH,,NON_SEXUAL
2girls,PERSON_COUNT,HIGH,,NON_SEXUAL
2nd_generation_(hololive),PERSON_COUNT,MEDIUM,,NON_SEXUAL
2others,PERSON_COUNT,HIGH,,NON_SEXUAL
3boys,PERSON_COUNT,HIGH,,NON_SEXUAL
3d_glasses,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
3dio,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
3girls,PERSON_COUNT,HIGH,,NON_SEXUAL
3others,PERSON_COUNT,HIGH,,NON_SEXUAL
404_(girls'_frontline),PERSON_COUNT,MEDIUM,,NON_SEXUAL
40mm_grenade,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
4boys,PERSON_COUNT,HIGH,,NON_SEXUAL
4girls,PERSON_COUNT,HIGH,,NON_SEXUAL
4others,PERSON_COUNT,HIGH,,NON_SEXUAL
4th_match_flame_(e.g.o),CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
5-string_bass_guitar,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
501st_joint_fighter_wing,PERSON_COUNT,MEDIUM,,NON_SEXUAL
502nd_joint_fighter_wing,PERSON_COUNT,MEDIUM,,NON_SEXUAL
5boys,PERSON_COUNT,HIGH,,NON_SEXUAL
5girls,PERSON_COUNT,HIGH,,NON_SEXUAL
5others,PERSON_COUNT,HIGH,,NON_SEXUAL
6+boys,PERSON_COUNT,HIGH,,NON_SEXUAL
