identity_key,general_path,confidence,risk_tokens,candidate_class,risk_families
anchor_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
aqua_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
bead_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
black_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
black_garter_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
black_garter_straps,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
blue_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
blue_garter_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
blue_garter_straps,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
bow_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
brown_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
butterfly_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
cat_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
chest_harness,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,NARROW_INTIMATE_WEAR
choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
choker_jewel,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
crescent_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
cross-laced_corset,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL,CLOTHING_CONTEXTUAL_RISK
