identity_key,general_path,confidence,risk_tokens,candidate_class
holding_cage,ACTION_CONTACT/OBJECT_USE,HIGH,,NON_SEXUAL
ankle_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
arm_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
black_arm_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
black_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
blue_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
cat_o-ring,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
heart_o-ring,CLOTHING/ACCESSORY,MEDIUM,,NON_SEXUAL
o-ring_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
o-ring_suspenders,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
rabbit_o-ring,CLOTHING/ACCESSORY,MEDIUM,,NON_SEXUAL
sleeve_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
star_o-ring,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
tail_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
cage,OBJECT_PROP,HIGH,,NON_SEXUAL
bug_cage,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
rectangular_cage,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
suspended_cage,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
