identity_key,membership,general_root,generation_family,generation_role,lex_flags,cluster_key,cluster_size,phase
mechanical_pussy,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,DISCOVERY
pussy_juice_in_container,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,DISCOVERY
clitoris_ring,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,DISCOVERY
blue_penis,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,DISCOVERY
severed_penis,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,DISCOVERY
clitoris_bar,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,DISCOVERY
green_nipples,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,HOLDOUT
green_anus,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,HOLDOUT
dog_penis,OVERLAP,BODY_PART,(none),body_attribute,ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,HOLDOUT
curved_penis,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,HOLDOUT
blue_anus,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,HOLDOUT
animal_pussy,OVERLAP,BODY_PART,(none),(none),ANATOMY,OVERLAP|BODY_PART|(none)|ANATOMY,66,HOLDOUT
naked_ribbon,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,DISCOVERY
naked_cloak,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,DISCOVERY
naked_sweater,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,DISCOVERY
erection_in_panties,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,DISCOVERY
male_underwear_pull,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,DISCOVERY
nude,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,DISCOVERY
naked_necktie,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,HOLDOUT
panties_around_one_leg,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,HOLDOUT
see-through_cleavage,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,HOLDOUT
naked_overalls,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,HOLDOUT
naked_towel,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,HOLDOUT
panties_visible_through_clothes,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,EXPOSURE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE,59,HOLDOUT
nipple_stimulation,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,DISCOVERY
guided_breast_grab,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,DISCOVERY
licking_testicle,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,DISCOVERY
mutual_breast_sucking,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,DISCOVERY
grabbing_multiple_others'_breasts,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,DISCOVERY
grabbing_own_breast,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,DISCOVERY
grabbing_another's_breast,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,HOLDOUT
breast_sucking,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,HOLDOUT
sucking_both_nipples,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,HOLDOUT
breast_suppress,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,HOLDOUT
spreading_another's_anus,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,HOLDOUT
sucking_male_nipple,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,ANATOMY,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|ANATOMY,47,HOLDOUT
testicles,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,DISCOVERY
pussy_piercing,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,DISCOVERY
disembodied_penis,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,DISCOVERY
gigantic_testicles,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,DISCOVERY
nipples,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,DISCOVERY
invisible_penis,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,DISCOVERY
penis_shadow,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,HOLDOUT
dark_nipples,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,HOLDOUT
futa_without_pussy,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,HOLDOUT
no_pussy,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,HOLDOUT
deformed_anus,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,HOLDOUT
puffy_nipples,OVERLAP,BODY_PART,BODY_ATTRIBUTE,body_target_or_attribute,ANATOMY,OVERLAP|BODY_PART|BODY_ATTRIBUTE|ANATOMY,47,HOLDOUT
forced_cunnilingus,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,DISCOVERY
tail_rape,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,DISCOVERY
stealth_cunnilingus,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,DISCOVERY
standing_anilingus,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,DISCOVERY
requesting_impregnation,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,DISCOVERY
stealth_footjob,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,DISCOVERY
unwanted_creampie,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,HOLDOUT
group_incest,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,HOLDOUT
mutual_impregnation,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,HOLDOUT
bound_thumbs,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,HOLDOUT
unusual_insertion,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,HOLDOUT
double_insertion,OVERLAP,ACTION_CONTACT,(none),(none),NONE,OVERLAP|ACTION_CONTACT|(none)|NONE,45,HOLDOUT
