identity_key,candidate_state,human_intent,review_note
ass_fuck,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
ass_onahole,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
attempted_rape,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
auto_cunnilingus,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
blue_plate_special_(sex),FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
broken_rape_victim,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
creampie,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
creampie_eating,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
ear_fuck,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
electric_onahole,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
face_fucking,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
fingering_ass,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
fingering_asshole,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
fleshlight,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
footjob_with_socks_on,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
footjob_with_thighhighs_on,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
fuck,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
fuck_machine,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
fucking,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
fucking_machine,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
gang_rape,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
kyoudaidon_(sex),FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
multiple_footjob,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
mutual_rape,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
negative_space_cunnilingus_(meme),FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
pec_fuck,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
rape_eyes,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
rape_play,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
shimaidon_(sex),FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
sockjob_(handjob),FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
squirting_(sex),FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
tentacle_fuck,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
tentacle_fucking,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
tentacle_rape,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
tit_fuck,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
trombone_(sex_act),FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
vaginal_creampie,FULL_REVIEW_SPECIAL_EXPLICIT_SEX_V47,,
