identity_key,candidate_state,human_intent,review_note
above_cleavage_cutout,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
absolute_cleavage,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
bare_naked,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
beaded_panties,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
bra_down,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
bra_no,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
bra_open,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
breastless_bra,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
cleavage_(male),FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
cleavage_window,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
clothed_female_naked_female,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
clothed_female_naked_male,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
clothed_male_naked_female,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
clothed_male_naked_male,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
completely_naked,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
crotchless_buruma,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
crotchless_clothes,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
crotchless_clothing,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
fully_naked,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
fully_nude,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
half_naked,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
heart_cleavage_cutout,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
maebari_pull,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
male_cleavage,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
money_in_cleavage,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_fur_coat,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_gakuran,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_labcoat,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_randoseru,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_shrug,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_sleeves,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_socks,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_thighhighs,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
naked_track_jacket,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nearly_nude_apron,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nippleless_bra,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
no_underwear,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
no_underwear_(male),FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_apron,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_bandage,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_cape,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_chocolate,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_coat,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_female_clothed_female,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_female_clothed_male,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_hoodie,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_male_clothed_female,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_male_clothed_male,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_model,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_overalls,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_ribbon,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_scarf,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_sheet,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_shirt,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_suspenders,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_tabard,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_thighhighs,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
nude_towel,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panties_down,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panties_no,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panties_pull,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panty,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panty_aside,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panty_down,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panty_flash,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panty_shot,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
panty_sniffing,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
partially_naked,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
partially_nude,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
peeing_panties,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
posterior_cleavage,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
strap_cleavage,FULL_REVIEW_SPECIAL_EXPOSURE_V30,,
