identity_key,state,evidence_flags
18+,EXPLICIT_SEXUAL_CANDIDATE_V21,adult_content_or_toy
3p,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_group_sex
about_to_be_raped,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_assault_variant
adult_content,EXPLICIT_SEXUAL_CANDIDATE_V21,adult_content_or_toy
adult_only,EXPLICIT_SEXUAL_CANDIDATE_V21,adult_content_or_toy
adult_toy,EXPLICIT_SEXUAL_CANDIDATE_V21,adult_content_or_toy
adult_toys,EXPLICIT_SEXUAL_CANDIDATE_V21,adult_content_or_toy
adultbaby,EXPLICIT_SEXUAL_CANDIDATE_V21,adult_content_or_toy
after_frottage,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state+explicit_act_variant
after_oral,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
after_urethral,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
aftersex,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
back_boob,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
balls,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
balls_deep,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
balls_touching,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
big_saggy_balls,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
black_cock,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
boob_grab,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
boob_slip,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
boob_window,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
boobs,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
cock,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
cock_and_ball_torture,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
cock_shock,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
cocks,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
coitus,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
dick,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
dicks,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
erotic,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
erotic_asphyxiation,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
erotic_content,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
explicit_sexual_content,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
facefucking,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
facesitting,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
forced_intercourse,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
gang_bang,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_group_sex
hentai,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
hentai_style,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
horse_cock,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
intercourse,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
lewd,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
lewd_content,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
lick_balls,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
multi_cock,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
nakadashi,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
off-color_semen,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
orgasmic,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
orgasmic_expression,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
orgy_is_the_new_black,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_group_sex
precum_trail,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
r18,EXPLICIT_SEXUAL_CANDIDATE_V21,adult_content_or_toy
saggy_balls,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
scissoring,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
semen,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_in_mouth,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_in_uterus,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_on_ass,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_on_body,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_on_figure,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_on_fingers,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_on_hair,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_on_lower_body,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_on_pecs,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
semen_on_upper_body,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
sexual_activity,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
sexual_assault,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state+sexual_assault_variant
sexual_euphemism,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
sexual_intercourse,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
sexual_mutilation,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
sexual_stimulation,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
sexual_torture,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
sexually_explicit,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
side_boob,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
side_boobs,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
socks_on_cocks,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
sperm,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_fluid_variant
stealth_exhibitionism,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
sucking_cock,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
sucking_dick,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
tits,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
tribadism_through_clothing,EXPLICIT_SEXUAL_CANDIDATE_V21,sexual_compound_or_state
under_boob,EXPLICIT_SEXUAL_CANDIDATE_V21,genital_slang
urethral,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
urethral_dilation,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
urethral_object_push,EXPLICIT_SEXUAL_CANDIDATE_V21,explicit_act_variant
