identity_key,state
age_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
analbeads,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
analingus,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
annilingus,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
anvil_position,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
armpit_licking,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
arms_bound,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
arms_tied,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
artificial_tentacles,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ashikoki,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ass-up_head-down,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ass_hole,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ass_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ass_spread,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
assertive_trap,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
assfuck,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
asshole,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
assjob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
autoerotic_asphyxiation,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
backjob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ball_bite,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ball_biting,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ball_busting_machine,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ball_caress,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ball_licking,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ball_squeeze,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ball_sucking,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ballbusting,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ballgag,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bare_ass,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
beastiality,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
beheading,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bisexual_(female),SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bisexual_(male),SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bitch_brat,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bitgag,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bj,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
blindfolded,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
blow_job,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
body_mutilation,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
boobjob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bootjob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bottom_(sexual_preference),SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bottom_less,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
bound_elbows,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
