identity_key,state,evidence_flags
age_play,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
analbeads,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
analingus,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
annilingus,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
ass_hole,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
ass_play,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
ass_spread,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
assfuck,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
asshole,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
assjob,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
autoerotic_asphyxiation,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
ball_busting_machine,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
ball_licking,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
ball_sucking,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
ballbusting,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
ballgag,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
bare_ass,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
bitgag,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
bj,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
blow_job,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
boobjob,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
bottom_(sexual_preference),EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_role_or_preference
bottom_less,EXPLICIT_SEXUAL_CANDIDATE_V21_1,nudity_or_explicit_exposure
breastjob,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
breath_play,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
breeding_kink,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
bukake,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
bukakke,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
butt_hole,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
butt_plug_tail,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
buttfuck,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
butthole,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
buttplug,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
buttsex,EXPLICIT_SEXUAL_CANDIDATE_V21_1,anal_or_ass_sexual
camel_toe,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
chastity_device,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm+explicit_machine_or_device
choking_play,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
climaxing,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
clit,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
clit_piercing,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
clit_pull,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
clit_slip,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
clit_torture,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
clit_tweak,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
clitslip,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
coaching_(sexual),EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
coming,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
cooperative_grinding_(sexual),EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_contact_or_grinding
coprophilia,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
covered_erection,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
cowgirl,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
cream_pie,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
crotchrope,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
cumflation,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
cumming,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
cumpool,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
cumstring,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
cumswap,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
cunilingus,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
cunillingus,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
cunnillingus,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
cuntboy_with_cuntboy,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_role_or_preference
cuntboy_with_female,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_role_or_preference
deep_insertion,EXPLICIT_SEXUAL_CANDIDATE_V21_1,penetration_or_insertion
deep_throat,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
dickgirl,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
dickhead,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
doggy,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
doggy_style,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
doublepenetration,EXPLICIT_SEXUAL_CANDIDATE_V21_1,penetration_or_insertion
dp,EXPLICIT_SEXUAL_CANDIDATE_V21_1,penetration_or_insertion
dubcon,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_assault_or_consent
dubious_consent,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_assault_or_consent
ecchi,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_content_synonym
egg_vibrators,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm+explicit_machine_or_device
erect_clit,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
ero,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_content_synonym
eroguro,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_content_synonym
explicit,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_content_synonym
exposed_genitals,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang+nudity_or_explicit_exposure
extreme_insertion,EXPLICIT_SEXUAL_CANDIDATE_V21_1,penetration_or_insertion
face-down_ass-up,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
face_down_ass_up,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
face_sitting,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
facefuck,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
felatio,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
female_on_top,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
fondle,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_contact_or_grinding
fondling,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_contact_or_grinding
foot_lick,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
foot_licking,EXPLICIT_SEXUAL_CANDIDATE_V21_1,oral_sex_alias
foreskin_biting,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
foreskin_retraction,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
fourway,EXPLICIT_SEXUAL_CANDIDATE_V21_1,group_sex_alias
from_behind_position,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
frotting,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_contact_or_grinding
fuckmachine,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_machine_or_device
full_nudity,EXPLICIT_SEXUAL_CANDIDATE_V21_1,nudity_or_explicit_exposure
futa,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_role_or_preference
futa_with_cuntboy,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_role_or_preference
gangrape,EXPLICIT_SEXUAL_CANDIDATE_V21_1,group_sex_alias+sexual_assault_or_consent
gangsex,EXPLICIT_SEXUAL_CANDIDATE_V21_1,group_sex_alias
genitalia,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
genitals,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
golden_shower_play,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
grinding_(sexual),EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_contact_or_grinding
grope,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_contact_or_grinding
groupsex,EXPLICIT_SEXUAL_CANDIDATE_V21_1,group_sex_alias
guy_on_top,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
hadaka_apron,EXPLICIT_SEXUAL_CANDIDATE_V21_1,nudity_or_explicit_exposure
hardcore,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_content_synonym
hogtied,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
horsecock,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
hotdogging,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm+sexual_contact_or_grinding
huge_insertion,EXPLICIT_SEXUAL_CANDIDATE_V21_1,penetration_or_insertion
humbler,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_machine_or_device
imminent_insertion,EXPLICIT_SEXUAL_CANDIDATE_V21_1,penetration_or_insertion
innuendo,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_content_synonym
intercrural,EXPLICIT_SEXUAL_CANDIDATE_V21_1,penetration_or_insertion
invisicock,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
jerk_off,EXPLICIT_SEXUAL_CANDIDATE_V21_1,masturbation_alias
jerking_off,EXPLICIT_SEXUAL_CANDIDATE_V21_1,masturbation_alias
jerkoff,EXPLICIT_SEXUAL_CANDIDATE_V21_1,masturbation_alias
jizz,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
labia,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
love_egg,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
male_on_top,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
manko,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
masturbate,EXPLICIT_SEXUAL_CANDIDATE_V21_1,masturbation_alias
masturbating,EXPLICIT_SEXUAL_CANDIDATE_V21_1,masturbation_alias
masturbating_each_other,EXPLICIT_SEXUAL_CANDIDATE_V21_1,masturbation_alias
mating_press_position,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
milking_device,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm+explicit_machine_or_device
missionary_position,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
molester,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_assault_or_consent
molesting,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_assault_or_consent
multiple_cumshots,EXPLICIT_SEXUAL_CANDIDATE_V21_1,cum_or_orgasm_alias
multiple_insertion,EXPLICIT_SEXUAL_CANDIDATE_V21_1,penetration_or_insertion
nakedapron,EXPLICIT_SEXUAL_CANDIDATE_V21_1,nudity_or_explicit_exposure
nakedribbon,EXPLICIT_SEXUAL_CANDIDATE_V21_1,nudity_or_explicit_exposure
newhalf,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_role_or_preference
nip_slip,EXPLICIT_SEXUAL_CANDIDATE_V21_1,nudity_or_explicit_exposure
nippleslip,EXPLICIT_SEXUAL_CANDIDATE_V21_1,nudity_or_explicit_exposure
nipslip,EXPLICIT_SEXUAL_CANDIDATE_V21_1,nudity_or_explicit_exposure
non-consensual,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_assault_or_consent
nonconsensual,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_assault_or_consent
pierced_labia,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
reverse_cowgirl,EXPLICIT_SEXUAL_CANDIDATE_V21_1,sexual_position
self_ball_busting,EXPLICIT_SEXUAL_CANDIDATE_V21_1,explicit_fetish_or_bdsm
uncensored_genitals,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
visible_genitals,EXPLICIT_SEXUAL_CANDIDATE_V21_1,genital_anatomy_or_slang
