review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
751,side-tie_peek,YES,スカートやドレス等の下から横結びパンティの紐だけが覗く状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の露出・見え方として探すのが自然,,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/side-tie_peek""]",Danbooru wikiで紐だけが見える状態と確認。
754,x-ray_glasses,YES,透視・X線視覚を表現する眼鏡,BROWSE_WORTHY,TOOL_OBJECT,CORE,特殊な眼鏡・小道具として探すのが自然,,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
757,blue_horns,YES,青色の角,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,人外的な身体特徴として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
760,wonderhorror~!?_na_kimodameshi!_(project_sekai),YES,『プロジェクトセカイ』の固有イベント・衣装参照「ワンダーホラー!?な肝試し!」,SEARCH_ORIENTED,,,,,,,,,,,[],[],[],NO,,CHECKED,[],
763,wet_fundoshi,YES,濡れた褌,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の状態として探すのが自然,,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
766,leatherclub_scene_(meme),YES,Leather Club Sceneとして知られる固有ミーム参照,SEARCH_ORIENTED,,,,,,,,,,,[],[],[],NO,,CHECKED,[],
769,valkyrie,YES,ワルキューレ／ヴァルキリーを題材にした人物・存在,BROWSE_WORTHY,RELATION_ROLE,CORE,神話的な人物類型・役割として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
772,horseback_riding,YES,馬に乗っている行為・姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,人物の乗馬姿勢・位置として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
775,pokemon_battle,YES,ポケモン同士などが戦うポケモンバトル,BROWSE_WORTHY,ACTION_CONTACT,CORE,戦闘行為として探すのが自然,,,,,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,CHECKED,[],
778,black_tiara,YES,黒色のティアラ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,装身具として探すのが自然,,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
781,blood_in_hair,YES,髪に血が付着している状態,BROWSE_WORTHY,FLUID_EXCRETION,CORE,血液の付着表現として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
784,wiffle_gag,YES,穴の開いたボールを用いるウィッフルギャグ,BROWSE_WORTHY,TOOL_OBJECT,CORE,拘束用の口枷・性具として探すのが自然,,,,,,,,[],"[""MOUTH_ORAL""]","[""BDSM_RESTRAINT""]",NO,,CHECKED,[],
787,iris_libre_(emblem),YES,『アズールレーン』のアイリス・リーブルを示す固有エンブレム,MIXED,TEXT_SYMBOL,CORE,紋章・シンボルとして探すのが自然,,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
790,crossed_fingers,YES,指を交差させる手の形・ジェスチャー,BROWSE_WORTHY,POSE_POSITION,CORE,手指の姿勢として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
793,string_play_spider_baby_(meme),YES,ヨーヨーのストリングトリック「スパイダーベイビー」を題材にしたふたば系視覚ミーム,MIXED,ACTION_CONTACT,CORE,ヨーヨー技の動作としても探せる,,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/string_play_spider_baby_(meme)""]",Danbooru wikiでヨーヨー技を題材にした視覚ミームと確認。
796,ahnenerbe_shop_uniform,YES,TYPE-MOON作品の喫茶店Ahnenerbeの固有店員制服,MIXED,CLOTHING_EXPOSURE,CORE,制服・衣装として探すのが自然,,,,,,,,"[""CLOTHING/UNIFORM""]",[],[],NO,,CHECKED,[],
799,fighting_type_theme_(pokemon),YES,ポケモンのかくとうタイプを意匠として取り入れたテーマ表現,MIXED,STYLE_PROCESSING,CORE,テーマ化されたデザイン表現として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
802,bud,YES,植物のつぼみ,BROWSE_WORTHY,LIVING,CORE,植物として探すのが自然,,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
805,optical_sight,YES,銃器などに装着する光学照準器,BROWSE_WORTHY,TOOL_OBJECT,CORE,武器用の器具・小道具として探すのが自然,,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,CHECKED,[],
808,balancing_on_finger,YES,指の上で物体などのバランスを取る行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,物を扱う行為として探すのが自然,,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
811,clawed_feet,YES,爪・鉤爪のある足,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,人外的な身体特徴として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
814,transformer,YES,「transformer」が変圧器・変形存在など複数義を持ち得るため、このタグの対象範囲を確定できない,SEMANTIC_UNRESOLVED,,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Transformer""]",一般語として変圧器の意味は確認できるが、取得できたDanbooru定義がなく、このidentityがその意味に限定されるか確定できない。
