row_id,pilot_reasons
I70-035893,KNOWN_REGRESSION|COLLISION
I70-035895,KNOWN_REGRESSION|COLLISION|COPYRIGHT_HIGH_IMPACT
I70-035897,KNOWN_REGRESSION
I70-035903,KNOWN_REGRESSION
I70-000001,KNOWN_REGRESSION|TOP_RISK|COLLISION|UNQUALIFIED_CONTEXT_RECHECK
I70-035955,KNOWN_REGRESSION|COLLISION
I70-000056,KNOWN_REGRESSION
I70-000146,KNOWN_REGRESSION
I70-000262,CLEAN_CONTROL
I70-035896,CLEAN_CONTROL
I70-035953,CLEAN_CONTROL
I70-036072,CLEAN_CONTROL
I70-036544,CLEAN_CONTROL
I70-038479,CLEAN_CONTROL
I70-002905,CLEAN_CONTROL
I70-013648,CLEAN_CONTROL
I70-018786,CLEAN_CONTROL
I70-027634,CLEAN_CONTROL
I70-035916,CLEAN_CONTROL
I70-035960,CLEAN_CONTROL
I70-035974,CLEAN_CONTROL
I70-036676,CLEAN_CONTROL
I70-038862,CLEAN_CONTROL
I70-039886,CLEAN_CONTROL
I70-031696,CLEAN_CONTROL
I70-035935,CLEAN_CONTROL
I70-038875,CLEAN_CONTROL
I70-000034,CLEAN_CONTROL
I70-039198,CLEAN_CONTROL
I70-034072,CLEAN_CONTROL
I70-002404,CLEAN_CONTROL
I70-000110,CLEAN_CONTROL
I70-044195,CLEAN_CONTROL
I70-035950,CLEAN_CONTROL
I70-036492,CLEAN_CONTROL
I70-000350,CLEAN_CONTROL
I70-003022,CLEAN_CONTROL
I70-008766,CLEAN_CONTROL
I70-035921,CLEAN_CONTROL
I70-000041,CLEAN_CONTROL
I70-000050,CLEAN_CONTROL
I70-000072,CLEAN_CONTROL
I70-000090,CLEAN_CONTROL
I70-000127,CLEAN_CONTROL
I70-000267,CLEAN_CONTROL
I70-000436,CLEAN_CONTROL
I70-000445,CLEAN_CONTROL
I70-000852,CLEAN_CONTROL
I70-002544,CLEAN_CONTROL
I70-002725,CLEAN_CONTROL
I70-003159,CLEAN_CONTROL
I70-003656,CLEAN_CONTROL
I70-004202,CLEAN_CONTROL
I70-004416,CLEAN_CONTROL
I70-006041,CLEAN_CONTROL
I70-008266,CLEAN_CONTROL
