canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
takigawa_miu,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 滝川みう (Takigawa Miu) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
fujima_sakura,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 藤間 桜 (Fujima Sakura) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
kono_miyako,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 河野 都 (Kono Miyako) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
sato_reika,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 佐藤麗華 (Sato Reika) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
toda_jun,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 戸田ジュン (Toda Jun) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
tachikawa_ayaka,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 立川絢香 (Tachikawa Ayaka) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
saito_nicole,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 斎藤ニコル (Saito Nicole) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
kamiki_mikami,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 神木みかみ (Kamiki Mikami) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
tojo_yuki,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 東条悠希 (Tojo Yuki) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
hiiragi_tsubomi,22/7,https://227anime.com/character/,OFFICIAL_ANIME_CHARACTER_PROFILE,"The official 22/7 anime character page names 柊つぼみ (Hiiragi Tsubomi) and provides her character profile.",Exact Japanese display-name match in the named anime's official character roster.
