row_id,canonical_tag,origin_class,origin_excluded_terms,origin_review_terms,origin_evidence,origin_note,origin_second_review_required
I70-035896,fate_(series),OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-035953,ragnarok_online,OFFICIAL_IDENTITY,,ROお絵描き::UNKNOWN,INTERNAL:canonical/display/search/aliases,Official row is preserved; listed terms require origin verification before removal.,true
I70-036072,super_smash_bros.,OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-000262,yazawa_nico,OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-036544,yuuki_bakuhatsu_bang_bravern,OFFICIAL_IDENTITY,腐レイバーン::FANWORK_COMMUNITY,,WEB:fanwork tag evidence for 腐レイバーン; INTERNAL:search_ja,Official row is preserved; only confirmed fanwork/non-identity search terms are exclusion candidates.,true
I70-002905,kohinata_miho,OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-038479,good_omens,OFFICIAL_IDENTITY,,,WEB:Prime Video Good Omens; INTERNAL:canonical/display,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-013648,aizawa_eiko,OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-018786,curakuru_(character),UNKNOWN,,,INTERNAL:canonical/display/search/aliases,Row identity/officialness remains unresolved; do not auto-include or suppress from origin classification alone.,true
I70-027634,handa_shin'ichi,UNKNOWN,,,INTERNAL:canonical/display/search/aliases,Row identity/officialness remains unresolved; do not auto-include or suppress from origin classification alone.,true
I70-000001,hatsune_miku,OFFICIAL_IDENTITY,ミクの日::FANWORK_EVENT | 初音ミクイラスト::FANWORK_HASHTAG,,WEB:https://piapro.net/pages/character ; INTERNAL:#177 known Pokemon false relation,Official row is preserved; only confirmed fanwork/non-identity search terms are exclusion candidates.,true
I70-000436,irys_(hololive),OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-000146,kirby,OFFICIAL_IDENTITY,,,INTERNAL:#177 known Pokemon false relation,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-000445,medusa_(fate),OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-000852,elizabeth_bathory_(fate),OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-002544,kei_(aris)_(blue_archive),UNKNOWN,,,WEB:current Blue Archive community references identify ケイ/天童ケイ; official verification pending,Row identity/officialness remains unresolved; do not auto-include or suppress from origin classification alone.,true
I70-002725,mudrock_(elite_ii)_(arknights),OFFICIAL_VARIANT,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-003159,eve_(stellar_blade),OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-003656,captain_nemo_(fate),OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-004202,hilda_valentine_goneril_(timeskip),OFFICIAL_VARIANT,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-004416,cheval_grand_(grand_itineraire)_(umamusume),OFFICIAL_VARIANT,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-006041,sherlock_holmes_(fate),OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-008266,soul_(character)_(deltarune),OFFICIAL_IDENTITY,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-009997,gawr_gura_(party_dress),OFFICIAL_VARIANT,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
I70-010173,zooey_(summer)_(granblue_fantasy),OFFICIAL_VARIANT,,,INTERNAL:canonical/display/search/aliases,No fanwork-origin contamination identified in the current B001/B002 first-pass evidence.,false
